Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
ABCA9	EST640918	ENSG00000154258	Q8IUA7	Endoplasmic reticulum
AC010422.5		ENSG00000269590		Nuclear membrane, Endoplasmic reticulum
AC068631.2		ENSG00000283149		Endoplasmic reticulum
AC135050.2		ENSG00000255439		Endoplasmic reticulum
AC138811.2		ENSG00000260342		Endoplasmic reticulum
AC245033.1		ENSG00000260836		Endoplasmic reticulum
ADAM9	CORD9, KIAA0021, MCMP, MDC9, Mltng	ENSG00000168615	Q13443	Vesicles
ADAMTS9	KIAA1312	ENSG00000163638	Q9P2N4	Vesicles
AGPAT1	LPAAT-alpha	ENSG00000204310	Q99943	Endoplasmic reticulum
AGR2	AG2, HAG-2, PDIA17, XAG-2	ENSG00000106541	O95994	Endoplasmic reticulum
AGR3	BCMP11, hAG-3, HAG3, PDIA18	ENSG00000173467	Q8TD06	Endoplasmic reticulum
AKR1C1	DD1, DDH, DDH1, HAKRC, MBAB	ENSG00000187134	Q04828	Endoplasmic reticulum, Cytosol
AKR1C2	BABP, DD, DD2, DDH2, HAKRD, MCDR2, TDD	ENSG00000151632	P52895	Nucleoplasm, Cytosol
AKR1C3	DDX, HAKRB, HSD17B5, KIAA0119, PGFS	ENSG00000196139	P42330	Nucleoplasm, Cytosol
AKR1C4	3-alpha-HSD, C11, CDR, CHDR, DD4, HAKRA, MGC22581	ENSG00000198610	P17516	Nucleoplasm, Cytosol
AL035078.4		ENSG00000285283	Q15293	Endoplasmic reticulum
AL136454.1		ENSG00000231767		Nucleoli, Endoplasmic reticulum, Cytosol
AL162231.1		ENSG00000187186		Vesicles
AL645922.1		ENSG00000244255		Endoplasmic reticulum, Vesicles
AL669918.1		ENSG00000250264		Nuclear speckles, Endoplasmic reticulum
ALB		ENSG00000163631	P02768	Golgi apparatus
ALG1	CDG1K, HMAT1, HMT-1, Mat-1	ENSG00000033011	Q9BT22	Endoplasmic reticulum
ALG10	ALG10A, DIE2, FLJ14751	ENSG00000139133	Q5BKT4	Endoplasmic reticulum
ALG10B	KCR1	ENSG00000175548	Q5I7T1	Endoplasmic reticulum
ALG12	CDG1G, ECM39	ENSG00000182858	Q9BV10	Endoplasmic reticulum
ALG1L2		ENSG00000251287	C9J202	Endoplasmic reticulum
ALG6		ENSG00000088035	Q9Y672	Endoplasmic reticulum
ALG9	DIBD1	ENSG00000086848	Q9H6U8	Endoplasmic reticulum
ALKBH1	ABH, alkB, ALKBH, hABH	ENSG00000100601	Q13686	Nucleoplasm
AMFR	gp78, RNF45	ENSG00000159461	Q9UKV5	Endoplasmic reticulum, Golgi apparatus
ANKLE2	KIAA0692, Lem4, LEMD7	ENSG00000176915	Q86XL3	Endoplasmic reticulum, Plasma membrane
ANKRD16	DKFZP434N1511	ENSG00000134461	Q6P6B7	Endoplasmic reticulum
AP001781.2		ENSG00000258529		Endoplasmic reticulum
ARHGAP5	GFI2, p190-B, p190BRhoGAP, RhoGAP5	ENSG00000100852	Q13017	Endoplasmic reticulum, Cytosol
ARID5B	FLJ21150, MRF2	ENSG00000150347	Q14865	Endoplasmic reticulum
ARL6IP1	AIP1, ARL6IP, ARMER, KIAA0069, SPG61	ENSG00000170540	Q15041	Endoplasmic reticulum
ARL6IP5	DERP11, GTRAP3-18, HSPC127, JWA, PRAF3, Yip6b	ENSG00000144746	O75915	Endoplasmic reticulum
ASGR2	CLEC4H2	ENSG00000161944	P07307	Endoplasmic reticulum, Plasma membrane
ASPH	BAH, CASQ2BP1, HAAH, JCTN	ENSG00000198363	Q12797	Endoplasmic reticulum
ASTE1	HT001	ENSG00000034533	Q2TB18	Endoplasmic reticulum
ATL2	ARL6IP2	ENSG00000119787	Q8NHH9	Endoplasmic reticulum
ATL3	DKFZP564J0863	ENSG00000184743	Q6DD88	Endoplasmic reticulum
ATP2A1	ATP2A, SERCA1	ENSG00000196296	O14983	Endoplasmic reticulum
AVL9	KIAA0241	ENSG00000105778	Q8NBF6	Endoplasmic reticulum
BAZ1A	ACF1, hACF1, WALp1, WCRF180	ENSG00000198604	Q9NRL2	Endoplasmic reticulum
BCAP31	6C6-Ag, BAP31, CDM, DXS1357E	ENSG00000185825	P51572	Endoplasmic reticulum
BGN	DSPG1, SLRR1A	ENSG00000182492	P21810	Golgi apparatus
BNIP1	Nip1, SEC20	ENSG00000113734	Q12981	Endoplasmic reticulum
BTG4	APRO3, PC3B	ENSG00000137707	Q9NY30	Endoplasmic reticulum, Golgi apparatus
C11orf58	SMAP	ENSG00000110696	O00193	Endoplasmic reticulum
C16orf95		ENSG00000260456	Q9H693	Endoplasmic reticulum
C19orf71	LOC100128569	ENSG00000183397	A6NCJ1	Plasma membrane, Cytosol
C20orf196	FLJ25067	ENSG00000171984	Q8IYI0	Endoplasmic reticulum, Golgi apparatus, Vesicles
C22orf39	MGC74441	ENSG00000242259	Q6P5X5	Endoplasmic reticulum
C2orf76	AIM29, LOC130355, MGC104437	ENSG00000186132	Q3KRA6	Endoplasmic reticulum
C4orf3	HCVFTP1	ENSG00000164096	Q8WVX3	Endoplasmic reticulum
CACNA1A	APCA, CACNL1A4, Cav2.1, EA2, FHM, HPCA, MHP, MHP1, SCA6	ENSG00000141837	O00555	Endoplasmic reticulum
CALR	cC1qR, CRT, FLJ26680, RO, SSA	ENSG00000179218	P27797	Endoplasmic reticulum
CALU		ENSG00000128595	O43852	Endoplasmic reticulum
CANX	CNX, IP90, P90	ENSG00000127022	P27824	Endoplasmic reticulum
CAPZA2	CAPPA2, CAPZ	ENSG00000198898	P47755	Endoplasmic reticulum
CAST		ENSG00000153113	P20810	Endoplasmic reticulum, Cytosol
CCDC47	GK001	ENSG00000108588	Q96A33	Endoplasmic reticulum
CCPG1	CPR8, KIAA1254	ENSG00000260916	Q9ULG6	Golgi apparatus
CCR10	GPR2	ENSG00000184451	P46092	Endoplasmic reticulum
CD1D		ENSG00000158473	P15813	Endoplasmic reticulum
CDS2		ENSG00000101290	O95674	Endoplasmic reticulum
CERS1	LAG1, LASS1, UOG1	ENSG00000223802	P27544	Endoplasmic reticulum
CERS2	FLJ10243, LASS2, SP260	ENSG00000143418	Q96G23	Nuclear membrane, Endoplasmic reticulum
CES1	CEH, CES1A1, CES1A2, CES2, HMSE, HMSE1, SES1	ENSG00000198848	P23141	Endoplasmic reticulum
CES3	ES31, FLJ21736	ENSG00000172828	Q6UWW8	Nuclear membrane, Endoplasmic reticulum
CFB	BF, BFD, H2-Bf	ENSG00000243649	P00751	Endoplasmic reticulum, Vesicles
CHKA	CHK, CKI	ENSG00000110721	P35790	Endoplasmic reticulum
CHRNB4		ENSG00000117971	P30926	Endoplasmic reticulum
CISD2	ERIS, Miner1, NAF-1, WFS2, ZCD2	ENSG00000145354	Q8N5K1	Endoplasmic reticulum
CLCC1	MCLC	ENSG00000121940	Q96S66	Endoplasmic reticulum
CLEC14A	C14orf27	ENSG00000176435	Q86T13	Endoplasmic reticulum, Golgi apparatus
CLGN		ENSG00000153132	O14967	Endoplasmic reticulum
CLN6	FLJ20561, HsT18960, nclf	ENSG00000128973	Q9NWW5	Endoplasmic reticulum
CLPTM1L	CRR9, FLJ14400	ENSG00000049656	Q96KA5	Endoplasmic reticulum
CLTRN	NX17, TMEM27	ENSG00000147003	Q9HBJ8	Endoplasmic reticulum, Vesicles
CLUL1		ENSG00000079101	Q15846	Endoplasmic reticulum
COL10A1		ENSG00000123500	Q03692	Endoplasmic reticulum
COL11A1	CO11A1, COLL6, STL2	ENSG00000060718	P12107	Endoplasmic reticulum
COL15A1		ENSG00000204291	P39059	Endoplasmic reticulum
COL1A2	OI4	ENSG00000164692	P08123	Endoplasmic reticulum
COL22A1		ENSG00000169436	Q8NFW1	Vesicles
COL25A1		ENSG00000188517	Q9BXS0	Vesicles, Cytosol
COL3A1	EDS4A	ENSG00000168542	P02461	Endoplasmic reticulum
COL4A3		ENSG00000169031	Q01955	Vesicles
COL4A6		ENSG00000197565	Q14031	Endoplasmic reticulum
COMT		ENSG00000093010	P21964	Vesicles
COQ10A	FLJ32452	ENSG00000135469	Q96MF6	Cytosol
CPVL		ENSG00000106066	Q9H3G5	Endoplasmic reticulum
CREB3L2	BBF2H7, TCAG_1951439	ENSG00000182158	Q70SY1	Nucleoplasm, Endoplasmic reticulum
CSGALNACT2	GALNACT-2, GALNACT2, MGC40204, PRO0082	ENSG00000169826	Q8N6G5	Endoplasmic reticulum
CTAGE5	cTAGE-5A, cTAGE-5B, cTAGE-5C, cTAGE-5D, MEA6, MGEA, MGEA11, MGEA6	ENSG00000150527	O15320, Q96PC5	Endoplasmic reticulum
CYB5B	CYB5-M	ENSG00000103018	O43169	Endoplasmic reticulum
CYB5R3	DIA1	ENSG00000100243	P00387	Endoplasmic reticulum
CYFIP2	PIR121	ENSG00000055163	Q96F07	Endoplasmic reticulum
CYP2S1		ENSG00000167600	Q96SQ9	Endoplasmic reticulum
CYP51A1	CP51, CYP51, CYPL1, LDM, P450-14DM, P450L1	ENSG00000001630	Q16850	Endoplasmic reticulum
CYTL1	C17, C4orf4	ENSG00000170891	Q9NRR1	Nuclear membrane, Endoplasmic reticulum
DBH	DBM	ENSG00000123454	P09172	Vesicles
DDOST	GATD6, KIAA0115, OST, OST48, WBP1	ENSG00000244038	P39656	Endoplasmic reticulum
DDRGK1	C20orf116, dJ1187M17.3, UFBP1	ENSG00000198171	Q96HY6	Endoplasmic reticulum
DERL1	DER-1, DER1, derlin-1, FLJ13784, MGC3067, PRO2577	ENSG00000136986	Q9BUN8	Endoplasmic reticulum
DERL2	CGI-101, derlin-2, F-LAN-1, F-LANa, FLANa	ENSG00000072849	Q9GZP9	Endoplasmic reticulum
DGAT1	ARGP1, DGAT	ENSG00000185000	O75907	Endoplasmic reticulum
DHCR7	SLOS	ENSG00000172893	Q9UBM7	Endoplasmic reticulum
DIAPH2	DIA, DIA2, POF, POF2	ENSG00000147202	O60879	Endoplasmic reticulum, Vesicles
DIP2B	FLJ34278, KIAA1463	ENSG00000066084	Q9P265	Endoplasmic reticulum
DNAJB11	EDJ, ERdj3, HEDJ	ENSG00000090520	Q9UBS4	Endoplasmic reticulum
DNAJB12	DJ10, FLJ20027	ENSG00000148719	Q9NXW2	Endoplasmic reticulum
DNAJB9	MDG1	ENSG00000128590	Q9UBS3	Endoplasmic reticulum, Cytosol
DNAJC1	DNAJL1, ERdj1, MTJ1	ENSG00000136770	Q96KC8	Endoplasmic reticulum
DNAJC3	ERdj6, HP58, P58, P58IPK, PRKRI	ENSG00000102580	Q13217	Endoplasmic reticulum
DUSP9	MKP-4, MKP4	ENSG00000130829	Q99956	Endoplasmic reticulum
