MitoCarta Gene	Protein ID
CYC1	 P08574
SDHB	 P21912
COQ7	 Q99807
SDHA	 P31040
UQCRC1	 P31930
COQ5	Q5HYK3
PDHA1	 P08559
COQ9	 O75208
MRPL12	 P52815
ATP5D	P30049
COX5A	 P20674
ISCA2	 Q86U28
PMPCB	 O75439
UQCRFS1	 P47985
ATP5A1	 P25705
UQCRC2	 P22695
PDHB	 P11177
OGDH	 Q02218
SDHD	 O14521
MRPS35	 P82673
UQCRQ	 O14949
MRPL53	 Q96EL3
DBT	 P11182
PDK4	Q16654
MDH2	 P40926
MRPS27	 Q92552
CS	O75390
GRPEL1	 Q9HAV7
DLAT	 P10515
LRPPRC	 P42704
PDHX	 O00330
DLST	 P36957
GFM1	 Q96RP9
MPC2	 O95563
NDUFS1	 P28331
MRPL46	 Q9H2W6
SLC25A3	 Q00325
ATP5E	 P56381
MRPS23	 Q9Y3D9
FH	 P07954
PMPCA	 Q10713
ATP5B	 P06576
C6orf57	Q5VUM1
UQCR10	 Q9UDW1
ISCA1	 Q9BUE6
SUCLA2	 Q9P2R7
COQ3	 Q9NZJ6
IARS2	 Q9NSE4
MRPS15	 P82914
IDH3A	P50213
COX11	 Q9Y6N1
TIMM10	 P62072
ETFDH	 Q16134
MRPL34	 Q9BQ48
MRPL2	 Q5T653
BCKDHA	 P12694
UQCRH	 P07919
HIGD2A	 Q9BW72
ATP5O	 P48047
ECHS1	 P30084
LETMD1	 Q6P1Q0
COX6A1	 P12074
COX15	 Q7KZN9
AFG3L2	 Q9Y4W6
HADHA	 P40939
ETFA	 P13804
NDUFS7	 O75251
CPT2	 P23786
BCKDHB	 P21953
IDH3B	 O43837
LARS2	 Q15031
ACADS	 P16219
LETM1	O95202
ATP5I	 P56385
OPA1	 O60313
AUH	Q13825
SUCLG1	 P53597
NDUFV2	 P19404
COQ6	 Q9Y2Z9
MRPL43	 Q8N983
ABHD11	 Q8NFV4
ATP5J	 P18859
NDUFB8	 O95169
LONP1	 P36776
DLD	 P09622
AIFM1	 O95831
ECHDC3	Q96DC8
APOOL	 Q6UXV4
MRPL10	 Q7Z7H8
MRRF	 Q96E11
NDUFS8	 O00217
ACADM	 P11310
IMMT	 Q16891
TIMM9	 Q9Y5J7
SLC25A4	 P12235
SAMM50	 Q9Y512
NDUFV1	 P49821
NDUFS2	 O75306
ACO2	 Q99798
SUPV3L1	 Q8IYB8
FECH	 P22830
MTIF2	P46199
PHB	 P35232
HIBCH	 Q6NVY1
MRPS2	 Q9Y399
HSPA9	 P38646
SURF1	Q15526
PRDX3	 P30048
GHITM	 Q9H3K2
GUF1	 Q8N442
TIMM13	 Q9Y5L4
LYRM4	 Q9HD34
MRPL16	 Q9NX20
MRPL40	 Q9NQ50
IDH3G	 P51553
SDHC	 Q99643
NDUFB5	 O43674
SDHAF2	 Q9NX18
COQ10A	Q96MF6
C21orf33	 P30042
TXN2	 Q99757
MRPS18A	 Q9NVS2
NDUFB9	 Q9Y6M9
COX6C	P09669
MTCH2	 Q9Y6C9
NDUFA6	 P56556
SLC25A20	 O43772
MRPL1	 Q9BYD6
TIMM44	 O43615
MINOS1	 Q5TGZ0
COX17	Q14061
SOD2	 P04179
VDAC1	 P21796
COX6B1	 P14854
CLPP	 Q16740
HADH	 Q16836
ACADL	 P28330
ACAT1	 P24752
MALSU1	 Q96EH3
CLPX	O76031
NDUFS4	 O43181
MRPL4	 Q9BYD3
C1QBP	 Q07021
PITRM1	 Q5JRX3
UQCC1	 Q9NVA1
MRPL55	 Q7Z7F7
MRM1	Q6IN84
MECR	 Q9BV79
MRPL44	 Q9H9J2
HSDL2	 Q6YN16
MRPS14	 O60783
ABCB8	 Q9NUT2
ATPAF2	 Q8N5M1
NDUFA9	 Q16795
COA6	 Q5JTJ3
POLRMT	 O00411
ISCU	 Q9H1K1
RTN4IP1	 Q8WWV3
OGDHL	Q9ULD0
ATP5C1	 P36542
BCKDK	 O14874
GFM2	 Q969S9
NDUFAF4	 Q9P032
SLC25A35	Q3KQZ1
SLC25A11	 Q02978
TIMM8B	 Q9Y5J9
MCAT	 Q8IVS2
IBA57	 Q5T440
PHB2	 Q99623
DAP3	 P51398
CMC2	 Q9NRP2
SDHAF1	 A6NFY7
MRPS17	 Q9Y2R5
ADHFE1	 Q8IWW8
NFS1	 Q9Y697
NDUFAF5	 Q5TEU4
MRPL17	 Q9NRX2
TACO1	 Q9BSH4
MFN1	 Q8IWA4
PPTC7	 Q8NI37
MRPL11	 Q9Y3B7
NDUFS6	 O75380
COX4I1	 P13073
MRPL13	 Q9BYD1
OXCT1	 P55809
COX5B	 P10606
PDK2	 Q15119
ALAS1	 P13196
MRPL33	 O75394
MTO1	 Q9Y2Z2
LIAS	 O43766
NDUFB6	 O95139
NDUFA5	 Q16718
MTX2	O75431
