Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
ABCB4	GBD1, MDR2, MDR3, PFIC-3, PGY3	ENSG00000005471	P21439	Nucleoplasm, Plasma membrane, Actin filaments
ACACA	ACAC, ACC, ACC1	ENSG00000278540	Q13085	Cytosol
ACTA2	ACTSA	ENSG00000107796	P62736	Actin filaments
ACTN1		ENSG00000072110	P12814	Plasma membrane, Actin filaments, Focal adhesion sites
ACTN2		ENSG00000077522	P35609	Actin filaments
ACTN3		ENSG00000248746	Q08043	Actin filaments
ACTN4	FSGS1	ENSG00000130402	O43707	Nuclear bodies, Actin filaments
AFAP1	AFAP, AFAP-110	ENSG00000196526	Q8N556	Actin filaments, Cytosol
ALG2	CDG1I, CDGIi, FLJ14511, hALPG2, NET38	ENSG00000119523	Q9H553	Actin filaments, Cytosol
ANG	RAA1, RNASE5	ENSG00000214274	P03950	Nucleoli
ANKRD23	DARP, FLJ32449, MARP3	ENSG00000163126	Q86SG2	Nucleoplasm
APBB3	FE65L2	ENSG00000113108	O95704	Actin filaments, Cytosol
ARAP2	CENTD1, PARX	ENSG00000047365	Q8WZ64	Focal adhesion sites
ARHGAP21	ARHGAP10, KIAA1424	ENSG00000107863	Q5T5U3	Cell Junctions, Actin filaments
ARHGAP33	FLJ39019, SNX26, TCGAP	ENSG00000004777	O14559	Plasma membrane
ARSJ	FLJ23548	ENSG00000180801	Q5FYB0	Actin filaments
ATG4A	APG4A, AUTL2	ENSG00000101844	Q8WYN0	Microtubules
ATP6V1H	CGI-11, SFD, SFDalpha, SFDbeta, VMA13	ENSG00000047249	Q9UI12	Actin filaments
AVEN	PDCD12	ENSG00000169857	Q9NQS1	Plasma membrane, Actin filaments
AXL	ARK, JTK11, Tyro7, UFO	ENSG00000167601	P30530	Plasma membrane
BBOX1	BBH, BBOX, G-BBH, gamma-BBH	ENSG00000129151	O75936	Vesicles
BCO1	BCDO, BCDO1, BCMO, BCMO1, FLJ10730	ENSG00000135697	Q9HAY6	Actin filaments, Centriolar satellite
BICDL2	CCDC64B	ENSG00000162069	A1A5D9	Intermediate filaments, Actin filaments, Cytosol
BRICD5	C16orf79, MGC21830	ENSG00000182685	Q6PL45	Actin filaments
BZW2	HSPC028, MST017, MSTP017	ENSG00000136261	Q9Y6E2	Plasma membrane, Actin filaments, Cytosol
C12orf76	FLJ40142	ENSG00000174456	Q8N812	Actin filaments
CACNA1E	BII, CACH6, CACNL1A6, Cav2.3	ENSG00000198216	Q15878	Plasma membrane
CALD1	CDM, H-CAD, L-CAD	ENSG00000122786	Q05682	Plasma membrane, Actin filaments
CAMTA2	KIAA0909	ENSG00000108509	O94983	Nucleoplasm
CCDC121	FLJ13646, FLJ43364	ENSG00000176714	Q6ZUS5	Actin filaments, Cytosol
CCDC69	DKFZP434C171, FLJ13705	ENSG00000198624	A6NI79	Plasma membrane
CCDC71L	C7orf74, FLJ36031	ENSG00000253276	Q8N9Z2	Golgi apparatus, Actin filaments
CDC42EP1	Borg5, CEP1, MSE55	ENSG00000128283	Q00587	Plasma membrane, Actin filaments
CDC42EP3	BORG2, CEP3, UB1	ENSG00000163171	Q9UKI2	Plasma membrane, Actin filaments
CDC42EP4	BORG4, CEP4, KAIA1777, MGC17125, MGC3740	ENSG00000179604	Q9H3Q1	Actin filaments, Microtubules
CDK18	PCTAIRE3, PCTK3	ENSG00000117266	Q07002	Actin filaments
CLK4		ENSG00000113240	Q9HAZ1	Actin filaments
CNN1	Sm-Calp, SMCC	ENSG00000130176	P51911	Actin filaments
CNN2		ENSG00000064666	Q99439	Cytosol
CNN3		ENSG00000117519	Q15417	Actin filaments
CNNM4	ACDP4, KIAA1592	ENSG00000158158	Q6P4Q7	Actin filaments
CNR1	CANN6, CB-R, CB1, CB1A, CB1K5, CNR	ENSG00000118432	P21554	Plasma membrane
CORIN	ATC2, CRN, Lrp4, PRSC, TMPRSS10	ENSG00000145244	Q9Y5Q5	Plasma membrane
CRTAP	CASP, LEPREL3, P3H5	ENSG00000170275	O75718	Intermediate filaments, Actin filaments, Cytosol
CSGALNACT1	ChGn, CSGalNAcT-1, FLJ11264	ENSG00000147408	Q8TDX6	Actin filaments
CTPS1	CTPS, GATD5	ENSG00000171793	P17812	Actin filaments, Cytosol
CYP20A1	CYP-M	ENSG00000119004	Q6UW02	Plasma membrane, Cell Junctions, Actin filaments
DBN1	D0S117E	ENSG00000113758	Q16643	Plasma membrane, Actin filaments
DDC	AADC	ENSG00000132437	P20711	Actin filaments
DDIT4L	REDD2, Rtp801L	ENSG00000145358	Q96D03	Plasma membrane
DDR2	NTRKR3, TKT, TYRO10	ENSG00000162733	Q16832	Plasma membrane, Actin filaments
DDX59	DKFZP564B1023, ZNHIT5	ENSG00000118197	Q5T1V6	Nucleoplasm, Actin filaments
DHDH	HUM2DD	ENSG00000104808	Q9UQ10	Nucleoplasm, Actin filaments
DHRSX	DHRS5X, DHRS5Y, DHRSXY, DHRSY, SDR46C1, SDR7C6	ENSG00000169084	Q8N5I4	Actin filaments, Cytosol
DMWD	D19S593E, DMR-N9, gene59	ENSG00000185800	Q09019	Plasma membrane, Actin filaments
EFR3B	FLJ37871, KIAA0953	ENSG00000084710	Q9Y2G0	Plasma membrane
