Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
AAAS		ENSG00000094914	Q9NRG9	Nuclear membrane
ABCA13	FLJ33876, FLJ33951	ENSG00000179869		Vesicles
AC008695.1		ENSG00000273217		Cytosol
AC134980.5		ENSG00000285472		Centrosome
AC135068.3		ENSG00000279408		Centrosome
AC171558.1		ENSG00000274792		Centrosome
ACTR8	INO80N	ENSG00000113812	Q9H981	Nucleoplasm
ADCK2	MGC20727	ENSG00000133597	Q7Z695	Centrosome, Cytosol
ADGRB2	BAI2	ENSG00000121753	O60241	Centrosome
ADPGK	ADP-GK, DKFZp434B195	ENSG00000159322	Q9BRR6	Centrosome
AGPAT2	BSCL, LPAAT-beta	ENSG00000169692	O15120	Centrosome
AHI1	FLJ20069, JBTS3, ORF1	ENSG00000135541	Q8N157	Centrosome
AK6	CINAP	ENSG00000085231	Q9Y3D8	Nuclear speckles
AKAP9	AKAP350, AKAP450, CG-NAP, HYPERION, KIAA0803, LQT11, MU-RMS-40.16A, PPP1R45, PRKA9, YOTIAO	ENSG00000127914	Q99996	Golgi apparatus
AKNA	KIAA1968	ENSG00000106948	Q7Z591	Nucleoplasm, Centrosome
ALDH8A1	ALDH12	ENSG00000118514	Q9H2A2	Centrosome
ALMS1	KIAA0328	ENSG00000116127		Centrosome, Cytosol
ALPK1	FLJ22670, KIAA1527, Lak	ENSG00000073331	Q96QP1	Centrosome
AMN1		ENSG00000151743	Q8IY45	Centrosome
ANKRD45	CT117, FLJ45235	ENSG00000183831	Q5TZF3	Cytosol
ANP32A	C15orf1, I1PP2A, LANP, MAPM, mapmodulin, PHAPI, PP32	ENSG00000140350	P39687	Nucleoplasm, Centrosome
ANP32B	APRIL, PHAPI2, SSP29	ENSG00000136938	Q92688	Nucleoplasm
ANP32D	PP32R2	ENSG00000139223	O95626	Nucleoplasm, Centrosome
ANP32E	LANP-L, LANPL, MGC5350	ENSG00000143401	Q9BTT0	Nucleoplasm, Centrosome
APPL1	APPL	ENSG00000157500	Q9UKG1	Mitotic spindle, Centrosome
ARHGAP29	PARG1	ENSG00000137962	Q52LW3	Nucleoplasm, Centrosome
ARHGAP40	C20orf95, dJ1100H13.4	ENSG00000124143	Q5TG30	Plasma membrane, Cytosol
ARHGEF38	FLJ20184	ENSG00000236699	Q9NXL2	Nucleoplasm, Centrosome
ARL3	ARFL3	ENSG00000138175	P36405	Centrosome
ASAP1	CENTB4, DDEF1, KIAA1249, PAP, ZG14P	ENSG00000153317	Q9ULH1	Plasma membrane, Centrosome, Cytosol
ATG5	APG5, APG5L, ASP, hAPG5	ENSG00000057663	Q9H1Y0	Centrosome
AUNIP	AIBp, C1orf135, MGC2603	ENSG00000127423	Q9H7T9	Centrosome
AURKA	AIK, ARK1, AurA, BTAK, PPP1R47, STK15, STK6, STK7	ENSG00000087586	O14965	Nucleoplasm, Centrosome, Cytosol
AVEN	PDCD12	ENSG00000169857	Q9NQS1	Plasma membrane, Actin filaments
BCAR3	AND-34, NSP2, SH2D3B	ENSG00000137936	O75815	Plasma membrane, Cytosol
BCAS2	DAM1, Snt309, SPF27	ENSG00000116752	O75934	Nuclear speckles, Centrosome
BEAN1	SCA31	ENSG00000166546	Q3B7T3	Nucleoplasm
BIRC7	KIAP, ML-IAP, mliap, RNF50	ENSG00000101197	Q96CA5	Nucleoplasm
BORCS6	C17orf59, FLJ20014	ENSG00000196544	Q96GS4	Cytosol
BRMS1	DKFZP564A063	ENSG00000174744	Q9HCU9	Centrosome
BUD31	Cwc14, EDG-2, EDG2, fSAP17, G10, YCR063W	ENSG00000106245	P41223	Nucleoplasm
C11orf70	MGC13040	ENSG00000137691	Q9BRQ4	Centrosome
C11orf80	FLJ22531, TOPOVIBL	ENSG00000173715	Q8N6T0	Centrosome
C12orf73	DKFZp547P055, FLJ13975	ENSG00000204954	Q69YU5	Centrosome, Mitochondria
C16orf74	MGC17624	ENSG00000154102	Q96GX8	Plasma membrane
C1QTNF2	CTRP2	ENSG00000145861	Q9BXJ5	Golgi apparatus, Centrosome
