Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
ABCA7	ABCX	ENSG00000064687	Q8IZY2	Golgi apparatus, Plasma membrane
ABCB6	EST45597, MTABC3, umat	ENSG00000115657	Q9NP58	Golgi apparatus
ABCC4	EST170205, MOAT-B, MOATB, MRP4	ENSG00000125257	O15439	Nucleoli, Plasma membrane
ABCC8	ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2	ENSG00000006071	Q09428	Nucleoli
ABCG1	ABC8	ENSG00000160179	P45844	Golgi apparatus, Vesicles
AC105001.2		ENSG00000258724		Nuclear speckles
ACAP1	CENTB1, KIAA0050	ENSG00000072818	Q15027	Golgi apparatus
ACAP3	CENTB5, KIAA1716	ENSG00000131584	Q96P50	Nucleoplasm
ACBD3	GCP60, GOCAP1, GOLPH1, PAP7	ENSG00000182827	Q9H3P7	Golgi apparatus
ACCS	ACS, PHACS	ENSG00000110455	Q96QU6	Golgi apparatus
ACHE	YT	ENSG00000087085	P22303	Golgi apparatus
ACSL4	ACS4, FACL4, LACS4, MRX63, MRX68	ENSG00000068366	O60488	Golgi apparatus
ADAMTSL5	THSD6	ENSG00000185761		Golgi apparatus
ADAT2	DEADC1, dJ20N2.1, TAD2	ENSG00000189007	Q7Z6V5	Golgi apparatus
ADCY6	AC6	ENSG00000174233	O43306	Golgi apparatus
ADI1	APL1, ARD, FLJ10913, HMFT1638, MTCBP-1, mtnD, SIPL	ENSG00000182551	Q9BV57	Nucleoplasm
AFP	FETA, HPAFP	ENSG00000081051	P02771	Golgi apparatus
AFTPH	FLJ20080, FLJ23793, MGC33965, Nbla10388	ENSG00000119844	Q6ULP2	Cytosol
AGPAT4	dJ473J16.2, LPAAT-delta	ENSG00000026652	Q9NRZ5	Golgi apparatus
AHSG	A2HS, FETUA, HSGA	ENSG00000145192	P02765	Golgi apparatus
AIG1	AIG-1, dJ95L4.1, FLJ10485	ENSG00000146416	Q9NVV5	Golgi apparatus
AJUBA	JUB, MGC15563	ENSG00000129474	Q96IF1	Nucleoplasm, Golgi apparatus
AKAP9	AKAP350, AKAP450, CG-NAP, HYPERION, KIAA0803, LQT11, MU-RMS-40.16A, PPP1R45, PRKA9, YOTIAO	ENSG00000127914	Q99996	Golgi apparatus
AKR1E2	AKR1CL2, AKRDC1, MGC10612	ENSG00000165568	Q96JD6	Nucleoplasm, Golgi apparatus
AL049629.2		ENSG00000284969		Golgi apparatus, Vesicles
AL132671.2		ENSG00000282218		Golgi apparatus
AL136295.1		ENSG00000254692		Golgi apparatus
ALB		ENSG00000163631	P02768	Golgi apparatus
ALKBH5	FLJ20308, OFOXD1	ENSG00000091542	Q6P6C2	Nucleoplasm, Golgi apparatus, Cytosol
ALX1	CART1	ENSG00000180318	Q15699	Nuclear bodies
AMBP	EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI	ENSG00000106927	P02760	Golgi apparatus
AMFR	gp78, RNF45	ENSG00000159461	Q9UKV5	Endoplasmic reticulum, Golgi apparatus
AMIGO2	ALI1, DEGA	ENSG00000139211	Q86SJ2	Golgi apparatus, Plasma membrane
ANAPC10	APC10, DKFZP564L0562, DOC1	ENSG00000164162	Q9UM13	Nucleoplasm
ANGPTL2	ARP2, HARP	ENSG00000136859	Q9UKU9	Golgi apparatus
ANGPTL8	C19orf80, RIFL, TD26	ENSG00000130173	Q6UXH0	Golgi apparatus
ANKRD26	KIAA1074, THC2	ENSG00000107890	Q9UPS8	Golgi apparatus, Vesicles
ANKRD40	MGC15396	ENSG00000154945	Q6AI12	Golgi apparatus
ANKRD49	FGIF, FLJ20189, GBIF	ENSG00000168876	Q8WVL7	Nucleoplasm, Nucleoli
ANO9	PIG5, TMEM16J, TP53I5	ENSG00000185101	A1A5B4	Golgi apparatus
AOC3	HPAO, VAP-1, VAP1	ENSG00000131471	Q16853	Cytosol
AP1AR	2C18, C4orf16, gamma-BAR, PRO0971	ENSG00000138660	Q63HQ0	Golgi apparatus
