Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
ADAMTS3	ADAMTS-4, KIAA0366	ENSG00000156140	O15072	Intermediate filaments
ADCY5	AC5	ENSG00000173175	O95622	Intermediate filaments
ALS2	ALS2CR6	ENSG00000003393	Q96Q42	Intermediate filaments, Cytosol
ANAPC4	APC4	ENSG00000053900	Q9UJX5	Intermediate filaments
APOBEC3C	APOBEC1L, ARDC2, ARDC4, ARP5, bK150C2.3, PBI	ENSG00000244509	Q9NRW3	Intermediate filaments
BCAS4	CNOL, FLJ20495	ENSG00000124243	Q8TDM0	Intermediate filaments, Cytosol
BICDL2	CCDC64B	ENSG00000162069	A1A5D9	Intermediate filaments, Actin filaments, Cytosol
C11orf95	MGC3032	ENSG00000188070	C9JLR9	Intermediate filaments
C12orf54	MGC35033	ENSG00000177627	Q6X4T0	Intermediate filaments
C17orf98	LOC388381	ENSG00000275489	A8MV24	Intermediate filaments
C19orf25	FLJ36666	ENSG00000119559	Q9UFG5	Intermediate filaments
C1orf141		ENSG00000203963	Q5JVX7	Intermediate filaments
C6orf52		ENSG00000137434	Q5T4I8	Nuclear speckles
C7orf26	MGC2718	ENSG00000146576	Q96N11	Nucleoplasm
CARD10	BIMP1, CARMA3	ENSG00000100065	Q9BWT7	Vesicles, Intermediate filaments
CCDC125	KENAE	ENSG00000183323	Q86Z20	Nuclear membrane, Intermediate filaments
CCDC58	FLJ33273	ENSG00000160124	Q4VC31	Mitochondria
CCT8	C21orf112, Cctq, PRED71	ENSG00000156261	P50990	Intermediate filaments
CDC42BPA	FLJ23347, KIAA0451, MRCK, MRCKA, PK428	ENSG00000143776	Q5VT25	Intermediate filaments
CHID1	FLJ42707, MGC3234	ENSG00000177830	Q9BWS9	Nucleoplasm, Intermediate filaments
CLK3	clk3	ENSG00000179335	P49761	Nucleoplasm, Intermediate filaments
COL9A3	DJ885L7.4.1, EDM3, FLJ90759, IDD, MED	ENSG00000092758	Q14050	Nucleoplasm
