Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
AAMP		ENSG00000127837	Q13685	Microtubules
AC011195.2		ENSG00000266826		Microtubules
AC092143.1		ENSG00000198211		Microtubules
ACSF2	ACSMW, FLJ20920	ENSG00000167107	Q96CM8	Nucleoplasm, Cytosol
ACTR1A	ARP1, Arp1A	ENSG00000138107	P61163	Microtubules
ACTR1B	Arp1B, CTRN2	ENSG00000115073	P42025	Microtubules
ADAL		ENSG00000168803	Q6DHV7	Microtubules
AGBL5	CCP5, FLJ21839	ENSG00000084693	Q8NDL9	Cytokinetic bridge
AIDA	C1orf80, FLJ12806	ENSG00000186063	Q96BJ3	Cytosol
AKT1	AKT, PKB, PRKBA, RAC	ENSG00000142208	P31749	Nucleoplasm
ANKRD10	FLJ20093	ENSG00000088448	Q9NXR5	Microtubules
ANKRD24	KIAA1981	ENSG00000089847	Q8TF21	Microtubules, Cytosol
ANKRD54	LIAR	ENSG00000100124	Q6NXT1	Microtubules, Midbody
AP000812.5		ENSG00000284922		Microtubules
ARC	Arg3.1, KIAA0278	ENSG00000198576	Q7LC44	Vesicles, Microtubules
ARHGAP39	CrGAP, KIAA1688, Vilse	ENSG00000147799	Q9C0H5	Cytosol
ARHGEF28	p190RhoGEF, RGNEF, RIP2	ENSG00000214944	Q8N1W1	Microtubules, Cytosol
ARL13B	ARL2L1, DKFZp761H079, JBTS8	ENSG00000169379	Q3SXY8	Microtubules
ASRGL1	ALP, ALP1, FLJ22316	ENSG00000162174	Q7L266	Microtubules
ATG4A	APG4A, AUTL2	ENSG00000101844	Q8WYN0	Microtubules
ATP6AP1	16A, Ac45, ATP6IP1, ATP6S1, CF2, ORF, VATPS1, XAP-3, XAP3	ENSG00000071553	Q15904	Plasma membrane, Microtubules, Cytosol
B3GALT2	beta3Gal-T2	ENSG00000162630	O43825	Plasma membrane, Microtubules
B4GALNT4	FLJ25045, NGalNAc-T1	ENSG00000182272	Q76KP1	Nucleoplasm, Microtubules
BRINP1	DBC1, DBCCR1, FAM5A	ENSG00000078725	O60477	Microtubules
BUD31	Cwc14, EDG-2, EDG2, fSAP17, G10, YCR063W	ENSG00000106245	P41223	Nucleoplasm
C1RL	C1r-LP, C1RL1	ENSG00000139178	Q9NZP8	Microtubules
C21orf91	C21orf14, C21orf38, CSSG1, EURL, YG81	ENSG00000154642	Q9NYK6	Microtubules
C9orf16	EST00098, FLJ12823, MGC4639	ENSG00000171159	Q9BUW7	Microtubules
CA11	CARP2, CARPX1	ENSG00000063180	O75493	Vesicles, Microtubules
