Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
AATF	BFR2, CHE-1, CHE1, DED	ENSG00000275700	Q9NY61	Nucleoli
ABCA12	DKFZP434G232, ICR2B, LI2	ENSG00000144452	Q86UK0	Vesicles, Plasma membrane
ABCC4	EST170205, MOAT-B, MOATB, MRP4	ENSG00000125257	O15439	Nucleoli, Plasma membrane
ABCC8	ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2	ENSG00000006071	Q09428	Nucleoli
ABCF3	EST201864	ENSG00000161204	Q9NUQ8	Cytosol
ABHD14B	CIB, MGC15429	ENSG00000114779	Q96IU4	Nucleoli
ABTB1	BPOZ, Btb3, BTBD21, EF1ABP	ENSG00000114626	Q969K4	Cytosol
AC008560.1		ENSG00000253251	Q6ZNX1	Nucleoplasm
AC012476.1		ENSG00000285396		Nucleoli
AC118549.1		ENSG00000036549	Q8IYH5	Nucleoplasm, Nucleoli
AC138696.1		ENSG00000264668		Nucleoli
AC245033.1		ENSG00000260836		Endoplasmic reticulum
ACADVL	ACAD6, LCACD, VLCAD	ENSG00000072778	P49748	Nucleoli, Mitochondria
ACOX1	PALMCOX	ENSG00000161533	Q15067	Peroxisomes
ACOXL	FLJ11042	ENSG00000153093	Q9NUZ1	Cytosol
ACSL3	ACS3, FACL3, PRO2194	ENSG00000123983	O95573	Nucleoli
ACTL6B	ACTL6, BAF53B	ENSG00000077080	O94805	Nucleoli
ACTR10	ACTR11, Arp10, Arp11, HARP11	ENSG00000131966	Q9NZ32	Nucleoli
ACVR1	ACVR1A, ACVRLK2, ALK2, SKR1	ENSG00000115170	Q04771	Nucleoli
ADAMTS12		ENSG00000151388	P58397	Nucleoli
ADAR	ADAR1, G1P1, IFI4	ENSG00000160710	P55265	Nucleoli
ADTRP	AIG1L, C6orf105, dJ413H6.1	ENSG00000111863	Q96IZ2	Nucleoli
AEN	FLJ12484, FLJ12562, ISG20L1	ENSG00000181026	Q8WTP8	Nucleoplasm
AGPAT4	dJ473J16.2, LPAAT-delta	ENSG00000026652	Q9NRZ5	Golgi apparatus
AGTPBP1	CCP1, KIAA1035, Nna1	ENSG00000135049	Q9UPW5	Nucleoli, Vesicles
AKAP11	AKAP220, DKFZp781I12161, FLJ11304, KIAA0629, PPP1R44, PRKA11	ENSG00000023516	Q9UKA4	Plasma membrane, Cytosol
AL121900.2		ENSG00000284776		Nucleoli, Cytosol
AL136454.1		ENSG00000231767		Nucleoli, Endoplasmic reticulum, Cytosol
AL162231.1		ENSG00000187186		Vesicles
ALG14	MGC19780	ENSG00000172339	Q96F25	Nucleoli
AMDHD2	CGI-14	ENSG00000162066	Q9Y303	Nucleoli, Cytosol
ANAPC11	APC11, Apc11p, HSPC214, MGC882	ENSG00000141552	Q9NYG5	Nucleoplasm
