Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
AAAS		ENSG00000094914	Q9NRG9	Nuclear membrane
AARSD1	MGC2744	ENSG00000266967	Q9BTE6	Nuclear membrane, Cytosol
ABHD18	C4orf29, FLJ21106	ENSG00000164074	Q0P651	Nuclear membrane
AC010319.2		ENSG00000269035		Nuclear membrane
AC010422.5		ENSG00000269590		Nuclear membrane, Endoplasmic reticulum
ADAMTS16	ADAMTS16s	ENSG00000145536	Q8TE57	Nuclear membrane, Mitochondria
ADGRG5	GPR114, PGR27	ENSG00000159618	Q8IZF4	Nuclear membrane, Vesicles
ADPRH	ARH1	ENSG00000144843	P54922	Nucleoplasm, Nuclear membrane
AEN	FLJ12484, FLJ12562, ISG20L1	ENSG00000181026	Q8WTP8	Nucleoplasm
AHCTF1	ELYS	ENSG00000153207	Q8WYP5	Nuclear membrane
AK9	AKD1, AKD2, C6orf199, C6orf224, dJ70A9.1, FLJ25791, FLJ42177, MGC26954	ENSG00000155085	Q5TCS8	Nucleoplasm, Nuclear membrane
AKIRIN1	C1orf108, FLJ12666	ENSG00000174574	Q9H9L7	Nucleoplasm
AMPD3		ENSG00000133805	Q01432	Nuclear membrane
ANKRD17	FLJ22206, GTAR, KIAA0697, MASK2, NY-BR-16	ENSG00000132466	O75179	Nucleoplasm
ANXA5	ANX5, ENX2	ENSG00000164111	P08758	Nuclear membrane
ARFGAP1	ARF1GAP, bA261N11.3, FLJ10767	ENSG00000101199	Q8N6T3	Golgi apparatus, Vesicles
ARHGAP10	FLJ20896, FLJ41791, GRAF2	ENSG00000071205	A1A4S6	Nucleoplasm
ARL6IP6	MGC33864	ENSG00000177917	Q8N6S5	Nuclear membrane
ARMCX6	FLJ20811, GASP10	ENSG00000198960	Q7L4S7	Cytosol
ATP6V1B1	ATP6B1, RTA1B, VATB, Vma2, VPP3	ENSG00000116039	P15313	Nucleoplasm, Nuclear membrane
BCL2	Bcl-2, PPP1R50	ENSG00000171791	P10415	Nuclear membrane
BRAP	BRAP2, IMP, RNF52	ENSG00000089234	Q7Z569	Cytosol
BRIP1	BACH1, FANCJ, OF	ENSG00000136492	Q9BX63	Nucleoplasm, Nuclear membrane
BTNL9	BTN8, FLJ32535	ENSG00000165810	Q6UXG8	Nuclear membrane
C12orf45	MGC40397	ENSG00000151131	Q8N5I9	Nucleoplasm
C2CD2L	KIAA0285, TMEM24	ENSG00000172375	O14523	Nucleoplasm, Nucleoli
C2orf68		ENSG00000168887	Q2NKX9	Nucleoplasm, Nuclear membrane, Mitochondria
C2orf70	LOC339778	ENSG00000173557	A6NJV1	Nuclear membrane, Vesicles
C5orf22	FLJ11193	ENSG00000082213	Q49AR2	Nuclear membrane
C6orf141	MGC46457	ENSG00000197261	Q5SZD1	Nuclear membrane
CACNA1D	CACH3, CACN4, CACNL1A2, Cav1.3, CCHL1A2	ENSG00000157388	Q01668	Nuclear membrane
CADM4	IGSF4C, Necl-4, SynCAM4, TSLL2	ENSG00000105767	Q8NFZ8	Nuclear membrane
CAPN8	nCL-2	ENSG00000203697	A6NHC0	Nucleoplasm, Nuclear membrane, Vesicles
CASC3	BTZ, MLN51	ENSG00000108349	O15234	Nuclear membrane
CCDC125	KENAE	ENSG00000183323	Q86Z20	Nuclear membrane, Intermediate filaments
CCDC34	L15, NY-REN-41, RAMA3	ENSG00000109881	Q96HJ3	Nuclear membrane, Nucleoli fibrillar center
CCDC71	FLJ12800	ENSG00000177352	Q8IV32	Nuclear membrane
CCDC77	MGC13183	ENSG00000120647	Q9BR77	Nuclear membrane
CDH5	7B4, CD144	ENSG00000179776	P33151	Plasma membrane
CDIPT	PIS, PIS1	ENSG00000103502	O14735	Nucleoplasm, Nuclear membrane, Plasma membrane
CDK4	PSK-J3	ENSG00000135446	P11802	Cytosol
CDS1		ENSG00000163624	Q92903	Nucleoplasm
CERS2	FLJ10243, LASS2, SP260	ENSG00000143418	Q96G23	Nuclear membrane, Endoplasmic reticulum
CES3	ES31, FLJ21736	ENSG00000172828	Q6UWW8	Nuclear membrane, Endoplasmic reticulum
CLK1		ENSG00000013441	P49759	Nucleoplasm, Nuclear membrane
CLPTM1		ENSG00000104853	O96005	Nuclear membrane, Centriolar satellite
CMSS1	C3orf26, MGC4308	ENSG00000184220	Q9BQ75	Nucleoli
CPD	GP180	ENSG00000108582	O75976	Nucleoplasm, Nuclear speckles
CPNE1	CPN1	ENSG00000214078	Q99829	Nucleoplasm, Nuclear membrane
CRAT	CAT1	ENSG00000095321	P43155	Nucleoplasm, Nuclear membrane
CREB3L4	AIbZIP, ATCE1, CREB3, CREB4, hJAL	ENSG00000143578	Q8TEY5	Nucleoplasm, Nuclear membrane
CRY1	PHLL1	ENSG00000008405	Q16526	Nucleoplasm, Nuclear membrane, Microtubules
CYB5D2	MGC32124	ENSG00000167740	Q8WUJ1	Nuclear membrane
CYP2B6	CPB6, CYP2B, CYPIIB6	ENSG00000197408	P20813	Nuclear membrane
CYTL1	C17, C4orf4	ENSG00000170891	Q9NRR1	Nuclear membrane, Endoplasmic reticulum
DCTN5	MGC3248, p25	ENSG00000166847	Q9BTE1	Nucleoplasm, Nuclear membrane
DHRS4	FLJ11008, humNRDR, SCAD-SRL, SDR-SRL, SDR25C2	ENSG00000157326	Q9BTZ2	Vesicles
DHRS4L2	SDR25C3	ENSG00000187630	Q6PKH6	Vesicles
DHX37	DDX37, Dhr1, KIAA1517, MGC2695, MGC4322	ENSG00000150990	Q8IY37	Nuclear membrane
DIRAS3	ARHI, NOEY2	ENSG00000162595	O95661	Nuclear membrane, Cytosol
DNAH3	DKFZp434N074, DLP3, Dnahc3b, Hsadhc3	ENSG00000158486	Q8TD57	Nuclear membrane
DNAJB12	DJ10, FLJ20027	ENSG00000148719	Q9NXW2	Endoplasmic reticulum
DNAJB2	CMT2T, HSJ1, HSPF3	ENSG00000135924	P25686	Nuclear membrane
DOCK11	ACG, FLJ32122, FLJ43653, ZIZ2	ENSG00000147251	Q5JSL3	Nuclear membrane, Nucleoli
DTX2	KIAA1528, RNF58	ENSG00000091073	Q86UW9	Nucleoplasm, Nuclear membrane
DUSP2	PAC-1	ENSG00000158050	Q05923	Nuclear membrane
ECEL1	DINE, XCE	ENSG00000171551	O95672	Nucleoplasm
EIF2B4	DKFZP586J0119, EIF-2B, EIF2B, EIF2Bdelta	ENSG00000115211	Q9UI10	Nuclear membrane
EMD	LEMD5, STA	ENSG00000102119	P50402	Nuclear membrane, Endoplasmic reticulum
ENDOD1	KIAA0830	ENSG00000149218	O94919	Nuclear membrane
