Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
AADAT	KAT2, KATII, KYAT2	ENSG00000109576	Q8N5Z0	Plasma membrane
AAK1	DKFZp686K16132, KIAA1048	ENSG00000115977	Q2M2I8	Plasma membrane
ABCA12	DKFZP434G232, ICR2B, LI2	ENSG00000144452	Q86UK0	Vesicles, Plasma membrane
ABCA7	ABCX	ENSG00000064687	Q8IZY2	Golgi apparatus, Plasma membrane
ABCB11	ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP	ENSG00000073734	O95342	Nucleoplasm, Plasma membrane, Cytosol
ABCB4	GBD1, MDR2, MDR3, PFIC-3, PGY3	ENSG00000005471	P21439	Nucleoplasm, Plasma membrane, Actin filaments
ABCB6	EST45597, MTABC3, umat	ENSG00000115657	Q9NP58	Golgi apparatus
ABCC1	GS-X, MRP, MRP1	ENSG00000103222	P33527	Plasma membrane
ABCC3	cMOAT2, EST90757, MLP2, MOAT-D, MRP3	ENSG00000108846	O15438	Plasma membrane
ABCC4	EST170205, MOAT-B, MOATB, MRP4	ENSG00000125257	O15439	Nucleoli, Plasma membrane
ABCC5	EST277145, MOAT-C, MRP5, SMRP	ENSG00000114770	O15440	Plasma membrane, Cell Junctions
ABCC6	ARA, EST349056, MLP1, MRP6, PXE, URG7	ENSG00000091262	O95255	Plasma membrane
ABCG2	ABCP, BCRP, CD338, EST157481, MXR	ENSG00000118777	Q9UNQ0	Plasma membrane
ABHD3	LABH3	ENSG00000158201	Q8WU67	Nucleoplasm, Vesicles
ABI1	ABI-1, E3B1, SSH3BP1	ENSG00000136754	Q8IZP0	Plasma membrane, Cell Junctions
ABLIM3	KIAA0843	ENSG00000173210	O94929	Plasma membrane
AC004691.2		ENSG00000250424		Plasma membrane
AC005324.3		ENSG00000251537		Cytosol
AC005726.1		ENSG00000258472		Vesicles, Plasma membrane
AC008403.1		ENSG00000268465		Plasma membrane, Cytosol
AC138696.1		ENSG00000264668		Nucleoli
ACIN1	ACINUS, fSAP152, KIAA0670	ENSG00000100813	Q9UKV3	Nucleoplasm
ACKR3	CMKOR1, CXCR7, GPR159, RDC1	ENSG00000144476	P25106	Vesicles, Plasma membrane
ACLY	ACL, ATPCL, CLATP	ENSG00000131473	P53396	Plasma membrane, Cytosol
ACOT9	ACATE2, CGI-16, MT-ACT48	ENSG00000123130	Q9Y305	Plasma membrane, Cytosol
ACTN1		ENSG00000072110	P12814	Plasma membrane, Actin filaments, Focal adhesion sites
ACTR6	ARP6, FLJ13433	ENSG00000075089	Q9GZN1	Plasma membrane, Cytosol
ADA		ENSG00000196839	P00813	Plasma membrane
ADAM10	CD156c, HsT18717, kuz, MADM	ENSG00000137845	O14672	Plasma membrane
ADAM12	MCMPMltna, MLTN	ENSG00000148848	O43184	Plasma membrane
ADAM28	ADAM23, eMDCII, MDC-Lm, MDC-Ls	ENSG00000042980	Q9UKQ2	Plasma membrane
ADAM33	C20orf153, dJ964F7.1, DKFZp434K0521	ENSG00000149451	Q9BZ11	Plasma membrane
ADAMTS1	C3-C5, KIAA1346, METH1	ENSG00000154734	Q9UHI8	Plasma membrane
ADAMTS2	ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP	ENSG00000087116	O95450	Plasma membrane
ADAMTSL4	DKFZP434K1772, TSRC1	ENSG00000143382	Q6UY14	Plasma membrane, Cytosol
ADAP1	CENTA1, GCS1L	ENSG00000105963	O75689	Plasma membrane, Cytosol
ADCK5	FLJ35454	ENSG00000173137	Q3MIX3	Plasma membrane, Cytosol
ADD1		ENSG00000087274	P35611	Plasma membrane
ADD2	ADDB	ENSG00000075340	P35612	Nucleoplasm, Cytosol
ADD3	ADDL	ENSG00000148700	Q9UEY8	Plasma membrane
ADGRG2	EDDM6, GPR64, HE6, TM7LN2	ENSG00000173698	Q8IZP9	Plasma membrane, Cytosol
ADGRL2	KIAA0786, LEC1, LPHH1, LPHN2	ENSG00000117114	O95490	Plasma membrane, Cell Junctions
ADH1A	ADH1	ENSG00000187758	P07327	Plasma membrane, Cytosol
ADH1B	ADH2	ENSG00000196616	P00325	Plasma membrane, Cytosol
ADH1C	ADH3	ENSG00000248144	P00326	Plasma membrane, Cytosol
ADH7	ADH-4	ENSG00000196344	P40394	Plasma membrane, Cytosol
ADORA1	RDC7	ENSG00000163485	P30542	Plasma membrane
ADRA1B		ENSG00000170214	P35368	Plasma membrane
ADRM1	ARM1, GP110, Rpn13	ENSG00000130706	Q16186	Nucleoplasm, Cytosol
ADSS		ENSG00000035687	P30520	Cytosol
AFAP1L2	Em:AC005383.4, FLJ14564, KIAA1914, XB130	ENSG00000169129	Q8N4X5	Plasma membrane, Cytosol
AFDN	AF-6, AF6, MLLT4	ENSG00000130396	P55196	Plasma membrane, Cell Junctions
AFG1L	AFG1, LACE1	ENSG00000135537	Q8WV93	Plasma membrane, Cytosol
AGER	RAGE, SCARJ1	ENSG00000204305	Q15109	Plasma membrane, Cell Junctions
AGRN	AGRIN	ENSG00000188157	O00468	Plasma membrane, Cytosol
AHNAK	MGC5395	ENSG00000124942	Q09666	Plasma membrane, Cytosol
AHNAK2	C14orf78	ENSG00000185567	Q8IVF2	Cytosol
AIFM2	AMID, FLJ14497, PRG3	ENSG00000042286	Q9BRQ8	Vesicles
AKAP10	D-AKAP2, MGC9414, PRKA10	ENSG00000108599	O43572	Plasma membrane, Cytosol
AKAP11	AKAP220, DKFZp781I12161, FLJ11304, KIAA0629, PPP1R44, PRKA11	ENSG00000023516	Q9UKA4	Plasma membrane, Cytosol
AKAP12	AKAP250, SSeCKS	ENSG00000131016	Q02952	Plasma membrane, Cytosol
AKR1B10	AKR1B11, AKR1B12, ALDRLn, ARL-1, ARL1, HIS, HSI	ENSG00000198074	O60218	Cytosol
AKR1B15		ENSG00000227471	C9JRZ8	Cytosol
AL132780.3		ENSG00000259132		Plasma membrane, Focal adhesion sites
AL139300.1		ENSG00000256500		Plasma membrane
AL355315.1		ENSG00000249967		Plasma membrane
AL358113.1		ENSG00000285130		Nucleoplasm, Plasma membrane, Cell Junctions
ALDH3A1	ALDH3	ENSG00000108602	P30838	Plasma membrane, Cytosol
ALK	CD246	ENSG00000171094	Q9UM73	Plasma membrane
ALOX15B	15-LOX-2	ENSG00000179593	O15296	Plasma membrane, Cytosol
ALOXE3	E-LOX, eLOX3	ENSG00000179148	Q9BYJ1	Plasma membrane, Cytosol
ALPI		ENSG00000163295	P09923	Plasma membrane
ALPP		ENSG00000163283	P05187	Plasma membrane
ALPPL2		ENSG00000163286	P10696	Plasma membrane
ALS2CR12		ENSG00000155749	Q96Q35	Plasma membrane, Cytosol
AMACR	P504S, RACE	ENSG00000242110	Q9UHK6	Vesicles, Plasma membrane
AMDHD1	MGC35366	ENSG00000139344	Q96NU7	Cytosol
AMER1	FAM123B, FLJ39827, RP11-403E24.2, WTX	ENSG00000184675	Q5JTC6	Nuclear bodies
AMIGO2	ALI1, DEGA	ENSG00000139211	Q86SJ2	Golgi apparatus, Plasma membrane
AMPH		ENSG00000078053	P49418	Cytosol
ANK2	LQT4	ENSG00000145362	Q01484	Plasma membrane
ANK3		ENSG00000151150	Q12955	Plasma membrane
