Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
AACS	ACSF1, FLJ12389, SUR-5	ENSG00000081760	Q86V21	Vesicles
AADAT	KAT2, KATII, KYAT2	ENSG00000109576	Q8N5Z0	Plasma membrane
AASS	LKRSDH, LORSDH	ENSG00000008311	Q9UDR5	Mitochondria
ABCA1	ABC1, HDLDT1, TGD	ENSG00000165029	O95477	Nucleoplasm, Vesicles
ABCA12	DKFZP434G232, ICR2B, LI2	ENSG00000144452	Q86UK0	Vesicles, Plasma membrane
ABCA13	FLJ33876, FLJ33951	ENSG00000179869		Vesicles
ABCB9	EST122234	ENSG00000150967	Q9NP78	Vesicles
ABCG1	ABC8	ENSG00000160179	P45844	Golgi apparatus, Vesicles
ABCG8	GBD4	ENSG00000143921	Q9H221	Vesicles
ABHD14A	DKFZP564O243, DORZ1	ENSG00000248487	Q9BUJ0	Vesicles
ABHD14A-ACY1		ENSG00000114786		Vesicles
ABHD17A	C19orf27, FAM108A1, MGC5244	ENSG00000129968	Q96GS6	Vesicles
ABHD3	LABH3	ENSG00000158201	Q8WU67	Nucleoplasm, Vesicles
ABHD5	CGI-58, NCIE2	ENSG00000011198	Q8WTS1	Vesicles
ABHD6		ENSG00000163686	Q9BV23	Vesicles
ABI2	ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2	ENSG00000138443	Q9NYB9	Nucleoplasm
ABT1	Esf2	ENSG00000146109	Q9ULW3	Vesicles
AC005726.1		ENSG00000258472		Vesicles, Plasma membrane
AC011455.2		ENSG00000269547		Nucleoplasm, Mitochondria
AC091057.5		ENSG00000284906	Q3KRB8	Vesicles
AC092718.3		ENSG00000260643		Vesicles
AC092718.8		ENSG00000284512		Vesicles
AC118553.2		ENSG00000283761		Vesicles
ACBD4	FLJ13322	ENSG00000181513	Q8NC06	Nucleoplasm, Vesicles
ACBD7	bA455B2.2, FLJ38219	ENSG00000176244	Q8N6N7	Vesicles, Cytosol
ACE	ACE1, CD143, DCP1	ENSG00000159640	P12821	Vesicles
ACHE	YT	ENSG00000087085	P22303	Golgi apparatus
ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	ENSG00000144648	O00590	Vesicles, Cytosol
ACKR3	CMKOR1, CXCR7, GPR159, RDC1	ENSG00000144476	P25106	Vesicles, Plasma membrane
