GeneName	Description	Process
ABHD16A	similarity:Belongs to the BAT5 family	Amino Acid Metabolism
ADO	catalytic activity:2-aminoethanethiol + O(2) = hypotaurinecofactor:Irontissue specificity:Ubiquitous, with highest expression in brain, heart and skeletal muscle (at protein level)	Amino Acid Metabolism
ASS1	catalytic activity:ATP + L-citrulline + L-aspartate = AMP + diphosphate + N(omega)-(L-arginino)succinatepathway:Amino-acid biosynthesis; L-arginine biosynthesis; L-arginine from L-ornithine and carbamoyl phosphate: step 2/3pathway:Nitrogen metabolism; urea cycle; N(omega)-(L-arginino)succinic acid from L-aspartate and L-citrulline: step 1/1similarity:Belongs to the argininosuccinate synthase familysimilarity:Belongs to the argininosuccinate synthase family. Type 1 subfamilysubunit:Homotetramer	Amino Acid Metabolism
DGLUCY	similarity: D-glutamate cyclase activity, glutamate metabolic process	Amino Acid Metabolism
ETNPPL	cofactor:Pyridoxal phosphate similarity:Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase familysubunit:Homotetramer	Amino Acid Metabolism
GLUL	catalytic activity:ATP + L-glutamate + NH(3) = ADP + phosphate + L-glutaminesimilarity:Belongs to the glutamine synthetase familysubunit:Homooctamer	Amino Acid Metabolism
KYAT3	Catalyzes the irreversible transamination of the L- tryptophan metabolite L-kynurenine to form kynurenic acid (KA). May catalyze the beta-elimination of S-conjugates and Se- conjugates of L-(seleno)cysteine, resulting in the cleavage of the C-S or C-Se bond (By similarity)	Amino Acid Metabolism
MMUT	Involved in the degradation of several amino acids, odd- chain fatty acids and cholesterol via propionyl-CoA to the tricarboxylic acid cycle (By similarity)	Amino Acid Metabolism
OXCT2B	Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate (By similarity). Probably play and important roles in the energy metabolism of spermatozoa	Amino Acid Metabolism
PHYKPL	cofactor:Pyridoxal phosphate similarity:Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase familysubunit:Homotetramer	Amino Acid Metabolism
SQOR	similarity: The protein encoded by this gene may function in mitochondria to catalyze the conversion of sulfide to persulfides, thereby decreasing toxic concencrations of sulfide. Alternative splicing results in multiple transcript variants that encode the same protein. [provided by RefSeq, Sep 2012]	Amino Acid Metabolism
