GeneName	Description	Process
1	Mrpl10	39S ribosomal protein L10, mitochondrial (L10mt) (MRP-L10)	Ribosomal
2	Mrpl2	39S ribosomal protein L2, mitochondrial (L2mt) (MRP-L2)	Ribosomal
3	Mrpl4	39S ribosomal protein L4, mitochondrial (L4mt) (MRP-L4)	Ribosomal
4	Mrpl49	39S ribosomal protein L49, mitochondrial (L49mt) (MRP-L49)	Ribosomal
5	Mrpl52	39S ribosomal protein L52, mitochondrial (L52mt) (MRP-L52)	Ribosomal
6	Mrpl32	39S ribosomal protein L32, mitochondrial (L32mt) (MRP-L32) (Heart-expressed gene 1 protein)	Ribosomal
7	Mrpl58	Peptidyl-tRNA hydrolase ICT1, mitochondrial (EC 3.1.1.29) (39S ribosomal protein L58, mitochondrial) (MRP-L58) (Immature colon carcinoma transcript 1 protein homolog)	Ribosomal
8	Mrpl45	39S ribosomal protein L45, mitochondrial (L45mt) (MRP-L45)	Ribosomal
9	Mrpl24	39S ribosomal protein L24, mitochondrial (L24mt) (MRP-L24)	Ribosomal
10	Mrpl22	39S ribosomal protein L22, mitochondrial (L22mt) (MRP-L22)	Ribosomal
11	Mrpl38	39S ribosomal protein L38, mitochondrial (L38mt) (MRP-L38)	Ribosomal
12	Mrpl36	39S ribosomal protein L36, mitochondrial (L36mt) (MRP-L36)	Ribosomal
13	Mrps30	28S ribosomal protein S30, mitochondrial (MRP-S30) (S30mt)	Ribosomal
14	Mrpl57	Ribosomal protein 63, mitochondrial (Mitochondrial ribosomal protein 63) (Mitochondrial ribosomal protein L57) (mMRP63)	Ribosomal
15	Mrpl13	39S ribosomal protein L13, mitochondrial (L13mt) (MRP-L13)	Ribosomal
16	Mrpl40	39S ribosomal protein L40, mitochondrial (L40mt) (MRP-L40) (Nuclear localization signal-containing protein deleted in velocardiofacial syndrome homolog)	Ribosomal
17	Mrpl39	39S ribosomal protein L39, mitochondrial (L39mt) (MRP-L39)	Ribosomal
18	Mrpl14	39S ribosomal protein L14, mitochondrial (L14mt) (MRP-L14)	Ribosomal
19	Mrps18a	28S ribosomal protein S18a, mitochondrial (MRP-S18-a) (Mrps18a) (S18mt-a) (28S ribosomal protein S18-3, mitochondrial) (MRP-S18-3)	Ribosomal
20	Mrpl28	39S ribosomal protein L28, mitochondrial (L28mt) (MRP-L28)	Ribosomal
21	Mrpl27	39S ribosomal protein L27, mitochondrial (L27mt) (MRP-L27)	Ribosomal
22	Mrpl16	39S ribosomal protein L16, mitochondrial (L16mt) (MRP-L16)	Ribosomal
23	Mrpl21	39S ribosomal protein L21, mitochondrial (L21mt) (MRP-L21)	Ribosomal
24	Mrpl11	39S ribosomal protein L11, mitochondrial (L11mt) (MRP-L11)	Ribosomal
25	Mrpl43	39S ribosomal protein L43, mitochondrial (L43mt) (MRP-L43) (Mitochondrial ribosomal protein bMRP36a)	Ribosomal
26	Mrpl30	39S ribosomal protein L30, mitochondrial (L30mt) (MRP-L30)	Ribosomal
27	Mrpl44	39S ribosomal protein L44, mitochondrial (L44mt) (MRP-L44) (EC 3.1.26.-)	Ribosomal
28	Mrpl9	39S ribosomal protein L9, mitochondrial (L9mt) (MRP-L9)	Ribosomal
29	Mrpl37	39S ribosomal protein L37, mitochondrial (L37mt) (MRP-L37)	Ribosomal
30	Mrpl20	39S ribosomal protein L20, mitochondrial (L20mt) (MRP-L20)	Ribosomal
31	Mrpl1	39S ribosomal protein L1, mitochondrial (L1mt) (MRP-L1)	Ribosomal
32	Mrpl53	39S ribosomal protein L53, mitochondrial (L53mt) (MRP-L53)	Ribosomal
33	Mrpl19	39S ribosomal protein L19, mitochondrial (L19mt) (MRP-L19)	Ribosomal
34	Mrpl51	39S ribosomal protein L51, mitochondrial (L51mt) (MRP-L51) (bMRP-64) (bMRP64)	Ribosomal
35	Mrpl46	39S ribosomal protein L46, mitochondrial (L46mt) (MRP-L46)	Ribosomal
36	Mrpl48	39S ribosomal protein L48, mitochondrial (L48mt) (MRP-L48)	Ribosomal
37	Mrpl17	39S ribosomal protein L17, mitochondrial (L17mt) (MRP-L17)	Ribosomal
38	Mrpl3	39S ribosomal protein L3, mitochondrial (L3mt) (MRP-L3)	Ribosomal
39	Gadd45gip1	Growth arrest and DNA damage-inducible proteins-interacting protein 1 (39S ribosomal protein L59, mitochondrial) (MRP-L59)	Ribosomal
40	Mrpl15	39S ribosomal protein L15, mitochondrial (L15mt) (MRP-L15)	Ribosomal
41	Mrpl34	39S ribosomal protein L34, mitochondrial (L34mt) (MRP-L34)	Ribosomal
