ID	GeneSymbol	Description	log2FC	AdjPValue
ENSMUSG00000005667.8	Mthfd2	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase [Source:MGI Symbol;Acc:MGI:1338850]	6.408414548	2.41E-162
ENSMUSG00000029752.12	Asns	asparagine synthetase [Source:MGI Symbol;Acc:MGI:1350929]	6.656360986	7.00E-147
ENSMUSG00000048078.16	Tenm4	teneurin transmembrane protein 4 [Source:MGI Symbol;Acc:MGI:2447063]	6.500741035	2.36E-114
ENSMUSG00000109372.1	Gm19410	predicted gene, 19410 [Source:MGI Symbol;Acc:MGI:5011595]	5.673813828	6.16E-113
ENSMUSG00000052572.16	Dlg2	discs, large homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1344351]	5.085538783	2.78E-101
ENSMUSG00000025007.13	Aldh18a1	aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]	3.992132741	2.56E-93
ENSMUSG00000053398.11	Phgdh	3-phosphoglycerate dehydrogenase [Source:MGI Symbol;Acc:MGI:1355330]	6.905508699	5.84E-89
ENSMUSG00000023169.14	Slc38a1	solute carrier family 38, member 1 [Source:MGI Symbol;Acc:MGI:2145895]	3.010780426	7.94E-86
ENSMUSG00000028369.15	Svep1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:MGI Symbol;Acc:MGI:1928849]	2.527502472	1.78E-75
ENSMUSG00000032715.9	Trib3	tribbles pseudokinase 3 [Source:MGI Symbol;Acc:MGI:1345675]	6.122561002	4.47E-75
ENSMUSG00000026456.18	Cyb5r1	cytochrome b5 reductase 1 [Source:MGI Symbol;Acc:MGI:1919267]	3.641039327	3.55E-74
ENSMUSG00000024640.9	Psat1	phosphoserine aminotransferase 1 [Source:MGI Symbol;Acc:MGI:2183441]	5.982856353	1.13E-73
ENSMUSG00000050335.16	Lgals3	lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]	6.881118279	3.87E-72
ENSMUSG00000040010.10	Slc7a5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 [Source:MGI Symbol;Acc:MGI:1298205]	4.939297696	1.50E-71
ENSMUSG00000027656.7	Wisp2	WNT1 inducible signaling pathway protein 2 [Source:MGI Symbol;Acc:MGI:1328326]	4.020561966	2.62E-65
ENSMUSG00000029864.7	Gstk1	glutathione S-transferase kappa 1 [Source:MGI Symbol;Acc:MGI:1923513]	-2.492826443	5.54E-62
ENSMUSG00000047419.5	Cmya5	cardiomyopathy associated 5 [Source:MGI Symbol;Acc:MGI:1923719]	-2.494385261	6.26E-59
ENSMUSG00000029777.10	Gars	glycyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2449057]	3.220065298	3.16E-58
ENSMUSG00000037826.5	Ppm1k	protein phosphatase 1K (PP2C domain containing) [Source:MGI Symbol;Acc:MGI:2442111]	-2.652196434	2.24E-56
ENSMUSG00000040675.17	Mthfd1l	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like [Source:MGI Symbol;Acc:MGI:1924836]	5.33431945	9.96E-56
ENSMUSG00000038539.15	Atf5	activating transcription factor 5 [Source:MGI Symbol;Acc:MGI:2141857]	3.085798783	1.74E-55
ENSMUSG00000003934.5	Efnb3	ephrin B3 [Source:MGI Symbol;Acc:MGI:109196]	-5.375664884	3.19E-54
ENSMUSG00000026483.13	Fam129a	family with sequence similarity 129, member A [Source:MGI Symbol;Acc:MGI:2137237]	2.655602	1.64E-52
ENSMUSG00000025037.6	Maoa	monoamine oxidase A [Source:MGI Symbol;Acc:MGI:96915]	6.160079683	1.59E-49
ENSMUSG00000112947.1	CT572985.1		-2.740579835	1.93E-49
ENSMUSG00000002020.15	Ltbp2	latent transforming growth factor beta binding protein 2 [Source:MGI Symbol;Acc:MGI:99502]	4.127059443	1.80E-47
ENSMUSG00000026380.10	Tfcp2l1	transcription factor CP2-like 1 [Source:MGI Symbol;Acc:MGI:2444691]	5.282605638	2.57E-47
ENSMUSG00000060036.13	Rpl3	ribosomal protein L3 [Source:MGI Symbol;Acc:MGI:1351605]	2.164161718	8.65E-47
ENSMUSG00000047298.3	Kcnv2	potassium channel, subfamily V, member 2 [Source:MGI Symbol;Acc:MGI:2670981]	-3.635574126	6.78E-45
ENSMUSG00000030268.17	Bcat1	branched chain aminotransferase 1, cytosolic [Source:MGI Symbol;Acc:MGI:104861]	4.561691099	1.24E-44
ENSMUSG00000040618.6	Pck2	phosphoenolpyruvate carboxykinase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1860456]	3.402136605	1.65E-44
ENSMUSG00000056973.6	Ces1d	carboxylesterase 1D [Source:MGI Symbol;Acc:MGI:2148202]	-5.238160689	3.67E-44
ENSMUSG00000005413.8	Hmox1	heme oxygenase 1 [Source:MGI Symbol;Acc:MGI:96163]	3.777516799	5.36E-44
ENSMUSG00000031375.17	Bgn	biglycan [Source:MGI Symbol;Acc:MGI:88158]	1.91956149	1.60E-43
ENSMUSG00000052727.5	Map1b	microtubule-associated protein 1B [Source:MGI Symbol;Acc:MGI:1306778]	3.67047856	1.61E-43
ENSMUSG00000064339	17725	mito	-2.822890921	4.32E-42
ENSMUSG00000105434.1	Gm43359	predicted gene 43359 [Source:MGI Symbol;Acc:MGI:5663496]	-1.870996712	5.43E-42
ENSMUSG00000025140.15	Pycr1	pyrroline-5-carboxylate reductase 1 [Source:MGI Symbol;Acc:MGI:2384795]	5.982207928	1.60E-41
ENSMUSG00000043122.7	A530016L24Rik	RIKEN cDNA A530016L24 gene [Source:MGI Symbol;Acc:MGI:2443020]	-3.99284797	3.97E-41
ENSMUSG00000068739.13	Sars	seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809]	2.730831523	5.32E-41
ENSMUSG00000050708.16	Ftl1	ferritin light polypeptide 1 [Source:MGI Symbol;Acc:MGI:95589]	1.953177646	8.37E-40
ENSMUSG00000045312.12	Lhfpl2	lipoma HMGIC fusion partner-like 2 [Source:MGI Symbol;Acc:MGI:2145236]	3.277199274	2.93E-39
ENSMUSG00000031297.14	Slc7a3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3 [Source:MGI Symbol;Acc:MGI:1100521]	7.395261285	2.99E-38
ENSMUSG00000001027.7	Scn4a	sodium channel, voltage-gated, type IV, alpha [Source:MGI Symbol;Acc:MGI:98250]	-3.101742794	3.64E-38
ENSMUSG00000041324.14	Inhba	inhibin beta-A [Source:MGI Symbol;Acc:MGI:96570]	4.225570481	1.03E-37
ENSMUSG00000015653.13	Steap2	six transmembrane epithelial antigen of prostate 2 [Source:MGI Symbol;Acc:MGI:1921301]	3.621744015	4.06E-36
ENSMUSG00000026495.8	Efcab2	EF-hand calcium binding domain 2 [Source:MGI Symbol;Acc:MGI:1915476]	-1.944213071	4.76E-36
ENSMUSG00000008658.15	Rbfox1	RNA binding protein, fox-1 homolog (C. elegans) 1 [Source:MGI Symbol;Acc:MGI:1926224]	-3.371794797	9.41E-36
