ID	GeneSymbol	Description	Log2FC	AdjPValue
P42208	Sep-02	Septin-2 OS=Mus musculus OX=10090 GN=Sept2 PE=1 SV=2	0.99	0.002762098
E9Q1G8	Sep-07	Septin-7 OS=Mus musculus OX=10090 GN=Sept7 PE=1 SV=2	1.08	0.000364636
A2A6U5	Sep-09	Septin-9 (Fragment) OS=Mus musculus OX=10090 GN=Sept9 PE=1 SV=1	0.81	4.71E-05
Q8C1B7	Sep-11	Septin-11 OS=Mus musculus OX=10090 GN=Sept11 PE=1 SV=4	1.04	0.000882533
Q8BTE5	1110001A16Rik; Cebpzos	Protein CEBPZOS OS=Mus musculus OX=10090 GN=Cebpzos PE=3 SV=2	1.34	0.034173987
Q9CR13	1110001J03Rik; Fmc1	Protein FMC1 homolog OS=Mus musculus OX=10090 GN=Fmc1 PE=1 SV=1	0.83	0.039156163
P61022	1500003O03Rik; Chp1	Calcineurin B homologous protein 1 OS=Mus musculus OX=10090 GN=Chp1 PE=1 SV=2	NA	NA
Q8BNT0	1700017B05Rik	Uncharacterized protein OS=Mus musculus OX=10090 PE=2 SV=1	NA	NA
D3Z316	1700021F05Rik	Protein 1700021F05Rik OS=Mus musculus OX=10090 GN=1700021F05Rik PE=1 SV=2	0.01	0.435962266
D3Z7Q2	1810013D10Rik; Smim20	Small integral membrane protein 20 OS=Mus musculus OX=10090 GN=Smim20 PE=1 SV=1	0.61	0.008223834
Q8BGX2	1810026J23Rik; Timm29	Mitochondrial import inner membrane translocase subunit Tim29 OS=Mus musculus OX=10090 GN=Timm29 PE=1 SV=1	0.77	0.007184937
Q8BGD8	1810063B05Rik; Coa6	Cytochrome c oxidase assembly factor 6 homolog OS=Mus musculus OX=10090 GN=Coa6 PE=1 SV=1	NA	NA
A0A1Y7VLP0	2010107E04Rik	ATP synthase membrane subunit 6.8PL (Fragment) OS=Mus musculus OX=10090 GN=Atp5mpl PE=1 SV=1	-0.49	0.00149762
Q149B8	2310042D19Rik; Perm1	PGC-1 and ERR-induced regulator in muscle protein 1 OS=Mus musculus OX=10090 GN=Perm1 PE=1 SV=2	-1.73	0.000107399
Q8K199	2310061C15Rik; Cmc2	COX assembly mitochondrial protein 2 homolog OS=Mus musculus OX=10090 GN=Cmc2 PE=3 SV=1	-0.38	0.09499481
Q3TIR1	2410002O22Rik; Trappc13	Trafficking protein particle complex subunit 13 OS=Mus musculus OX=10090 GN=Trappc13 PE=2 SV=1	1.26	2.09E-06
Q8R404	2410015M20Rik	MICOS complex subunit MIC13 OS=Mus musculus OX=10090 GN=Micos13 PE=1 SV=1	-0.21	0.120213379
Q9CQE8	2700060E02Rik; Rtraf	"RNA transcription, translation and transport factor protein OS=Mus musculus OX=10090 GN=RTRAF PE=1 SV=1"	4.49	0.037603051
Q9DB60	2810405K02Rik; Fam213b	Prostamide/prostaglandin F synthase OS=Mus musculus OX=10090 GN=Prxl2b PE=1 SV=1	3.1	0.001837457
E9Q6E9	4732471D19Rik; Simc1	SUMO-interacting motifs-containing 1 OS=Mus musculus OX=10090 GN=Simc1 PE=1 SV=1	-0.06	0.487915454
E9QMW4	4930562C15Rik	Uncharacterized protein C16orf96 homolog OS=Mus musculus OX=10090 PE=2 SV=1	0.26	0.045755077
Q8BGY7	4933403F05Rik; Fam210a	Protein FAM210A OS=Mus musculus OX=10090 GN=Fam210a PE=1 SV=1	0.01	0.48891161
E9QMK9	9030617O03Rik; Dglucy	"D-glutamate cyclase, mitochondrial OS=Mus musculus OX=10090 GN=Dglucy PE=1 SV=1"	0.16	0.236565133
Q8BHE8	9430016H08Rik; Maip1	"m-AAA protease-interacting protein 1, mitochondrial OS=Mus musculus OX=10090 GN=Maip1 PE=1 SV=1"	NA	NA
