Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
AAAS		ENSG00000094914	Q9NRG9	Nuclear membrane
AAGAB	FLJ11506, p34	ENSG00000103591	Q6PD74	Nuclear speckles, Cytosol
AAK1	DKFZp686K16132, KIAA1048	ENSG00000115977	Q2M2I8	Plasma membrane
AAMDC	C11orf67, CK067, FLJ21035, PTD015	ENSG00000087884	Q9H7C9	Nucleoplasm
AAMP		ENSG00000127837	Q13685	Microtubules
AANAT	SNAT	ENSG00000129673	Q16613	Cytosol
AAR2	bA234K24.2, C20orf4	ENSG00000131043	Q9Y312	Cytosol
AARS	AlaRS, CMT2N	ENSG00000090861	P49588	Cytosol
AARSD1	MGC2744	ENSG00000266967	Q9BTE6	Nuclear membrane, Cytosol
ABCA12	DKFZP434G232, ICR2B, LI2	ENSG00000144452	Q86UK0	Vesicles, Plasma membrane
ABCA13	FLJ33876, FLJ33951	ENSG00000179869		Vesicles
ABCA3	ABC-C, ABC3, EST111653, LBM180	ENSG00000167972	Q99758	Nucleoplasm, Cytosol
ABCA8	KIAA0822	ENSG00000141338	O94911	Nucleoplasm
ABCB1	ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1	ENSG00000085563	P08183	Nucleoplasm, Focal adhesion sites, Cytosol
ABCB11	ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP	ENSG00000073734	O95342	Nucleoplasm, Plasma membrane, Cytosol
ABCB6	EST45597, MTABC3, umat	ENSG00000115657	Q9NP58	Golgi apparatus
ABCC8	ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2	ENSG00000006071	Q09428	Nucleoli
ABCC9	CMD1O, SUR2	ENSG00000069431	O60706	Nucleoplasm, Cytosol
ABCE1	OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I	ENSG00000164163	P61221	Cytosol
ABCF1	ABC50, EST123147	ENSG00000204574	Q8NE71	Cytosol
ABCF2	ABC28, EST133090, HUSSY-18, M-ABC1	ENSG00000033050	Q9UG63	Cytosol
ABCF2	ABC28, EST133090, HUSSY-18, M-ABC1	ENSG00000285292	Q9UG63	Cytosol
ABCF3	EST201864	ENSG00000161204	Q9NUQ8	Cytosol
ABHD13	bA153I24.2, BEM46L1, C13orf6, FLJ14906	ENSG00000139826	Q7L211	Cytosol
ABHD14B	CIB, MGC15429	ENSG00000114779	Q96IU4	Nucleoli
ABHD15		ENSG00000168792	Q6UXT9	Nucleoplasm, Cytosol
ABHD2	LABH2	ENSG00000140526	P08910	Cytosol
ABI1	ABI-1, E3B1, SSH3BP1	ENSG00000136754	Q8IZP0	Plasma membrane, Cell Junctions
ABLIM1	abLIM, LIMAB1, limatin	ENSG00000099204	O14639	Cytosol
ABR	MDB	ENSG00000159842	Q12979	Cytosol
ABRACL	C6orf115, Costars, HSPC280, PRO2013	ENSG00000146386	Q9P1F3	Nucleoplasm
ABRAXAS2	ABRO1, Em:AC068896.4, FAM175B, KIAA0157	ENSG00000165660	Q15018	Cytosol
ABTB1	BPOZ, Btb3, BTBD21, EF1ABP	ENSG00000114626	Q969K4	Cytosol
AC004922.1		ENSG00000284292		Cell Junctions
AC005324.3		ENSG00000251537		Cytosol
AC008403.1		ENSG00000268465		Plasma membrane, Cytosol
AC008687.1		ENSG00000267335		Cytosol
AC008695.1		ENSG00000273217		Cytosol
AC008878.3		ENSG00000268861		Cytosol
AC011005.1		ENSG00000230626		Cytosol
AC012476.1		ENSG00000285396		Nucleoli
AC023509.3		ENSG00000267281		Nucleoplasm, Cytosol
AC104662.2		ENSG00000281028		Cytosol
AC245033.1		ENSG00000260836		Endoplasmic reticulum
