GeneName	Description	Process	Comment
ABHD16A	A cluster of genes, BAT1-BAT5, has been localized in the vicinity of the genes for tumor necrosis factor alpha and tumor necrosis factor beta. These genes are all within the human major histocompatibility complex class III region. The protein encoded by this gene is thought to be involved in some aspects of immunity. Alternatively spliced transcript variants have been described. [provided by RefSeq, Apr 2010],	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
ADO	Human thiol dioxygenases include cysteine dioxygenase (CDO; MIM 603943) and cysteamine (2-aminoethanethiol) dioxygenase (ADO; EC 1.13.11.19). CDO adds 2 oxygen atoms to free cysteine, whereas ADO adds 2 oxygen atoms to free cysteamine to form hypotaurine (Dominy et al 2007 [PubMed 17581819]).[supplied by OMIM, Mar 2008],	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
ASS1	The protein encoded by this gene catalyzes the penultimate step of the arginine biosynthetic pathway. There are approximately 10 to 14 copies of this gene including the pseudogenes scattered across the human genome, among which the one located on chromosome 9 appears to be the only functional gene for argininosuccinate synthetase. Mutations in the chromosome 9 copy of this gene cause citrullinemia. Two transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Aug 2012],	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
BCAT1	This gene encodes the cytosolic form of the enzyme branched-chain amino acid transaminase. This enzyme catalyzes the reversible transamination of branched-chain alpha-keto acids to branched-chain L-amino acids essential for cell growth. Two different clinical disorders have been attributed to a defect of branched-chain amino acid transamination: hypervalinemia and hyperleucine-isoleucinemia. As there is also a gene encoding a mitochondrial form of this enzyme, mutations in either gene may contribute to these disorders. Alternatively spliced transcript variants have been described. [provided by RefSeq, May 2010],	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
DGLUCY	D-glutamate cyclase activity, glutamate metabolic process	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
ETNPPL	cofactor:Pyridoxal phosphate similarity:Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase familysubunit:Homotetramer	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
FAHD2B	May have hydrolase activity (By similarity)	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
GLUD2	Important for recycling the chief excitatory neurotransmitter, glutamate, during neurotransmission	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
GLUL	The protein encoded by this gene belongs to the glutamine synthetase family. It catalyzes the synthesis of glutamine from glutamate and ammonia in an ATP-dependent reaction. This protein plays a role in ammonia and glutamate detoxification, acid-base homeostasis, cell signaling, and cell proliferation. Glutamine is an abundant amino acid, and is important to the biosynthesis of several amino acids, pyrimidines, and purines. Mutations in this gene are associated with congenital glutamine deficiency, and overexpression of this gene was observed in some primary liver cancer samples. There are six pseudogenes of this gene found on chromosomes 2, 5, 9, 11, and 12. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014],	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
KYAT3	Catalyzes the irreversible transamination of the L- tryptophan metabolite L-kynurenine to form kynurenic acid (KA). May catalyze the beta-elimination of S-conjugates and Se- conjugates of L-(seleno)cysteine, resulting in the cleavage of the C-S or C-Se bond (By similarity)	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
MMUT	Involved in the degradation of several amino acids, odd- chain fatty acids and cholesterol via propionyl-CoA to the tricarboxylic acid cycle. MCM has different functions in other species	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
