GeneID	Symbol	Description	Synonyms	Maestro score	FDR	Evidence	Tissues
1537	CYC1	cytochrome c-1	MC3DN6, UQCR4, P08574	43	0%	"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
6390	SDHB	"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"	CWS2, IP, PGL4, SDH, SDH1, SDH2, SDHIP, P21912	43	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
10229	COQ7	"coenzyme Q7 homolog, ubiquinone (yeast)"	CAT5, CLK-1, CLK1, Q99807	43	0%	"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++"	all 14
6389	SDHA	"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"	CMD1GG, FP, PGL5, SDH1, SDH2, SDHF, P31040	42	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
7384	UQCRC1	ubiquinol-cytochrome c reductase core protein I	D3S3191, QCR1, UQCR1, P31930	42	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
84274	COQ5	"coenzyme Q5 homolog, methyltransferase (S. cerevisiae)"	Q5HYK3	42	0%	"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
5160	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	PDHA, PDHCE1A, PHE1A, P08559	42	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
57017	COQ9	coenzyme Q9	C16orf49, COQ10D5, O75208	42	0%	"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	all 14
6182	MRPL12	mitochondrial ribosomal protein L12	5c5-2, L12mt, MRP-L31/34, MRPL7, MRPL7/L12, RPML12, P52815	42	0%	"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
513	ATP5D	"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"	P30049	42	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	all 14
9377	COX5A	cytochrome c oxidase subunit Va	COX, COX-VA, VA, P20674	41	0%	"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
122961	ISCA2	iron-sulfur cluster assembly 2	HBLD1, ISA2, c14_5557, Q86U28	41	0%	"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	all 14
9512	PMPCB	peptidase (mitochondrial processing) beta	Beta-MPP, MPP11, MPPB, MPPP52, P-52, O75439	41	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
7386	UQCRFS1	"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"	RIP1, RIS1, RISP, UQCR5, P47985	40	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++"	all 14
498	ATP5A1	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle"	ATP5A, ATP5AL2, ATPM, HEL-S-123m, MC5DN4, MOM2, OMR, ORM, hATP1, P25705	40	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
7385	UQCRC2	ubiquinol-cytochrome c reductase core protein II	MC3DN5, QCR2, UQCR2, P22695	40	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
5162	PDHB	pyruvate dehydrogenase (lipoamide) beta	PDHBD, PDHE1-B, PHE1B, P11177	40	0%	"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
4967	OGDH	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	AKGDH, E1k, OGDC, Q02218	40	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
6392	SDHD	"succinate dehydrogenase complex, subunit D, integral membrane protein"	CBT1, CII-4, CWS3, PGL, PGL1, QPs3, SDH4, cybS, O14521	40	0%	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	all 14
60488	MRPS35	mitochondrial ribosomal protein S35	MDS023, MRP-S28, MRPS28, P82673	39	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
27089	UQCRQ	"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa"	MC3DN4, QCR8, QP-C, QPC, UQCR7, O14949	39	0%	"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
116540	MRPL53	mitochondrial ribosomal protein L53	L53MT, Q96EL3	39	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
1629	DBT	dihydrolipoamide branched chain transacylase E2	BCATE2, BCKAD-E2, BCKADE2, E2, E2B, P11182	39	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++"	all 14
5166	PDK4	"pyruvate dehydrogenase kinase, isozyme 4"	Q16654	38	0%	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, testis
4191	MDH2	"malate dehydrogenase 2, NAD (mitochondrial)"	M-MDH, MDH, MGC:3559, MOR1, P40926	38	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
23107	MRPS27	mitochondrial ribosomal protein S27	MRP-S27, S27mt, Q92552	38	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
