ID	GeneSymbol	Description	Log2FC	AdjPValue
B2RQQ1	Myh6	MCG133649, isoform CRA_a OS=Mus musculus OX=10090 GN=Myh6 PE=1 SV=1	-0.327348371	0.70373815
A2ASS6	Ttn	Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1	-0.234465254	0.999999996
E9Q8K5	Ttn	Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1	-0.295128036	
B2RXX9	Myh7	Myosin, heavy polypeptide 7, cardiac muscle, beta OS=Mus musculus OX=10090 GN=Myh7 PE=2 SV=1	3.356988892	0.000497444
Q8BMS1	Hadha	Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Hadha PE=1 SV=1	-0.295128036	0.015210343
P56480	Atp5f1b	ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2	-0.090802937	0.149159923
Q99KI0	Aco2	Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1	1.039840265	2.63E-08
Q03265	Atp5f1a	ATP synthase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1a PE=1 SV=1	0.012926174	0.999999996
P63038	Hspd1	60 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspd1 PE=1 SV=1	1.241230036	5.26E-09
Q6P8J7	Ckmt2	Creatine kinase S-type, mitochondrial OS=Mus musculus OX=10090 GN=Ckmt2 PE=1 SV=1	0.481298942	0.034623791
Q99JY0	Hadhb	Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Hadhb PE=1 SV=1	-0.134477041	0.235716433
Q8BWT1	Acaa2	3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3	-1.265344567	1.89E-09
Q8CAQ8	Immt	MICOS complex subunit Mic60 OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1	0.360645202	0.02552778
