Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
A4GALT	A14GALT, Gb3S, P(k), P1	ENSG00000128274	Q9NPC4	Mitochondria
AARS2	AARSL, bA444E17.1, KIAA1270	ENSG00000124608	Q5JTZ9	Mitochondria
AASS	LKRSDH, LORSDH	ENSG00000008311	Q9UDR5	Mitochondria
AATK	AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77	ENSG00000181409	Q6ZMQ8	Mitochondria
ABAT	GABAT	ENSG00000183044	P80404	Mitochondria
ABCB6	EST45597, MTABC3, umat	ENSG00000115657	Q9NP58	Golgi apparatus
ABCB7	ABC7, ASAT, Atm1p, EST140535	ENSG00000131269	O75027	Mitochondria
ABCB8	EST328128, M-ABC1, MABC1	ENSG00000197150	Q9NUT2	Mitochondria
ABHD10	FLJ11342	ENSG00000144827	Q9NUJ1	Mitochondria
ABHD11	PP1226, WBSCR21	ENSG00000106077	Q8NFV4	Mitochondria
ABLIM2	KIAA1808	ENSG00000163995	Q6H8Q1	Mitochondria
AC004556.1		ENSG00000276345		Mitochondria
AC004754.1		ENSG00000269881		Mitochondria
AC008982.1		ENSG00000268083		Mitochondria
AC011455.2		ENSG00000269547		Nucleoplasm, Mitochondria
AC024592.3		ENSG00000267740		Mitochondria
AC093155.3		ENSG00000267561		Mitochondria
AC131160.1		ENSG00000283765		Mitochondria
AC139530.2		ENSG00000262660		Mitochondria
ACAA2	DSAEC	ENSG00000167315	P42765	Mitochondria
ACAD9	MGC14452, NPD002	ENSG00000177646	Q9H845	Mitochondria
ACADM	ACAD1, MCAD, MCADH	ENSG00000117054	P11310	Mitochondria
ACADS	ACAD3, SCAD	ENSG00000122971	P16219	Mitochondria
ACADSB	ACAD7, SBCAD	ENSG00000196177	P45954	Mitochondria
ACADVL	ACAD6, LCACD, VLCAD	ENSG00000072778	P49748	Nucleoli, Mitochondria
ACAT1	ACAT, THIL	ENSG00000075239	P24752	Mitochondria
ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	ENSG00000129048	Q9NPB9	Vesicles, Mitochondria
ACO1	IREB1, IREBP, IRP1	ENSG00000122729	P21399	Mitochondria, Cytosol
ACO2	ACONM	ENSG00000100412	Q99798	Mitochondria
ACOT1	ACH2, CTE-1, LACH2	ENSG00000184227	Q86TX2	Mitochondria
ACOT2	Mte1, ZAP128	ENSG00000119673	P49753	Mitochondria
ACOT8	hACTE-III, hTE, NAP1, PTE-2, PTE1	ENSG00000101473	O14734	Vesicles
ACSL1	ACS1, FACL1, FACL2, LACS, LACS1, LACS2	ENSG00000151726	P33121	Nucleoplasm
ACSL4	ACS4, FACL4, LACS4, MRX63, MRX68	ENSG00000068366	O60488	Golgi apparatus
ACSL5	ACS2, ACS5, FACL5	ENSG00000197142	Q9ULC5	Mitochondria
ACSS3	FLJ21963	ENSG00000111058	Q9H6R3	Mitochondria
ADAM28	ADAM23, eMDCII, MDC-Lm, MDC-Ls	ENSG00000042980	Q9UKQ2	Plasma membrane
ADAMTS12		ENSG00000151388	P58397	Nucleoli
ADAMTS16	ADAMTS16s	ENSG00000145536	Q8TE57	Nuclear membrane, Mitochondria
ADCY1	AC1, DFNB44	ENSG00000164742	Q08828	Mitochondria
ADGB	C6orf103, CAPN16, dJ408K24.1, FLJ23121	ENSG00000118492	Q8N7X0	Mitochondria
ADGRF4	FLJ38076, GPR115, PGR18	ENSG00000153294	Q8IZF3	Mitochondria
ADNP2	KIAA0863, ZNF508	ENSG00000101544	Q6IQ32	Mitochondria, Cytosol
AFF1	AF-4, AF4, MLLT2, PBM1	ENSG00000172493	P51825	Nucleoplasm, Mitochondria
AFG3L2	SCA28, SPAX5	ENSG00000141385	Q9Y4W6	Mitochondria
AFMID	DKFZp686F03259, KF	ENSG00000183077	Q63HM1	Mitochondria
AGBL3	CCP3, MGC32955	ENSG00000146856	Q8NEM8	Nuclear speckles, Mitochondria, Cytosol
AGK	FLJ10842, MULK	ENSG00000006530	Q53H12	Mitochondria
AGPAT5	FLJ11210, LPAAT-e, LPAAT-epsilon	ENSG00000155189	Q9NUQ2	Mitochondria
AIFM3	AIFL, FLJ30473	ENSG00000183773	Q96NN9	Mitochondria
AIM2	PYHIN4	ENSG00000163568	O14862	Mitochondria
AK3	AK3L1, AK6, AKL3L1	ENSG00000147853	Q9UIJ7	Mitochondria
AK4	AK3, AK3L1	ENSG00000162433	P27144	Mitochondria
AKAP1	AKAP121, AKAP149, AKAP84, D-AKAP1, PPP1R43, PRKA1, S-AKAP84, SAKAP84, TDRD17	ENSG00000121057	Q92667	Mitochondria
AL021546.1		ENSG00000111780		Mitochondria
AL139011.2		ENSG00000258465		Nucleoplasm, Cytosol
AL139260.3		ENSG00000274944		Nucleoplasm
AL360181.3		ENSG00000254536		Mitochondria
ALAS1	ALAS, ALAS3	ENSG00000023330	P13196	Mitochondria
ALDH16A1	MGC10204	ENSG00000161618	Q8IZ83	Mitochondria
ALDH18A1	GSAS, P5CS, PYCS, SPG9	ENSG00000059573	P54886	Mitochondria
ALDH1B1	ALDH5, ALDHX	ENSG00000137124	P30837	Mitochondria
ALDH1L2	FLJ38508, mtFDH	ENSG00000136010	Q3SY69	Mitochondria
ALDH5A1	SSADH, SSDH	ENSG00000112294	P51649	Mitochondria
ALDH6A1	MMSDH	ENSG00000119711	Q02252	Mitochondria
ALDH7A1	ATQ1, EPD, PDE	ENSG00000164904	P49419	Mitochondria
ALKBH3	DEPC-1	ENSG00000166199	Q96Q83	Nucleoplasm
ALKBH7	MGC10974, SPATA11	ENSG00000125652	Q9BT30	Mitochondria
AMBRA1	DCAF3, FLJ20294, KIAA1736, WDR94	ENSG00000110497	Q9C0C7	Vesicles
AMMECR1		ENSG00000101935	Q9Y4X0	Nucleoplasm
AMT	GCST, NKH	ENSG00000145020	P48728	Mitochondria
ANAPC13	APC13, DKFZP566D193, SWM1	ENSG00000129055	Q9BS18	Mitochondria, Cytosol
ANGEL2	Ccr4d, FLJ12793, KIAA0759L	ENSG00000174606	Q5VTE6	Nucleoplasm
ANKRD13D		ENSG00000172932	Q6ZTN6	Nucleoplasm
ANKRD33B		ENSG00000164236	A6NCL7	Mitochondria
ANKRD34B	DP58	ENSG00000189127	A5PLL1	Nucleoplasm, Mitochondria
ANKRD34C		ENSG00000235711	P0C6C1	Mitochondria
ANKRD37	Lrp2bp	ENSG00000186352	Q7Z713	Nucleoplasm, Cytosol
ANKRD44	PP6-ARS-B	ENSG00000065413	Q8N8A2	Mitochondria
ANKRD52	FLJ34236, PP6-ARS-C	ENSG00000139645	Q8NB46	Nucleoplasm, Mitochondria
APBB2	FE65L, FE65L1, MGC35575	ENSG00000163697	Q92870	Mitochondria
APCDD1L	FLJ90166	ENSG00000198768	Q8NCL9	Mitochondria
APOO	FAM121B, MGC4825, Mic23, MIC26, My025	ENSG00000184831	Q9BUR5	Mitochondria
APOOL	AAIR8193, CXorf33, FAM121A, Mic27, UNQ8193	ENSG00000155008	Q6UXV4	Mitochondria
AR	AIS, DHTR, HUMARA, NR3C4, SBMA, SMAX1	ENSG00000169083	P10275	Mitochondria
AREG	AREGB, SDGF	ENSG00000109321	P15514	Mitochondria
ARG2		ENSG00000081181	P78540	Mitochondria
ARGLU1	FLJ10154	ENSG00000134884	Q9NWB6	Nucleoplasm
ARHGAP20	KIAA1391	ENSG00000137727	Q9P2F6	Mitochondria
ARL9		ENSG00000196503	Q6T311	Mitochondria
ARMC1	Arcp, FLJ10511	ENSG00000104442	Q9NVT9	Mitochondria
ARMC10	MGC3195, SVH	ENSG00000170632	Q8N2F6	Mitochondria
ARMCX1	ALEX1, GASP7	ENSG00000126947	Q9P291	Nucleoplasm, Mitochondria
ARMCX2	ALEX2, GASP9, KIAA0512	ENSG00000184867	Q7L311	Mitochondria
AS3MT	CYT19	ENSG00000214435	Q9HBK9	Mitochondria
ATAD1	FLJ14600	ENSG00000138138	Q8NBU5	Nucleoli
ATAD3A	FLJ10709	ENSG00000197785	Q9NVI7	Mitochondria
ATAD3B	KIAA1273, TOB3	ENSG00000160072	Q5T9A4	Mitochondria
ATAD3C	FLJ34599	ENSG00000215915	Q5T2N8	Mitochondria
ATG4D	APG4-D, APG4D, AUTL4	ENSG00000130734	Q86TL0	Nucleoplasm, Mitochondria
ATP5F1A	ATP5A, ATP5A1, ATP5AL2, ATPM, hATP1, OMR, ORM	ENSG00000152234	P25705	Mitochondria
ATP5F1B	ATP5B, ATPSB	ENSG00000110955	P06576	Mitochondria
ATP5IF1	ATPI, ATPIF1, ATPIP, IP, MGC1167, MGC8898	ENSG00000130770	Q9UII2	Mitochondria
ATP5MD	bA792D24.4, DAPIT, MGC14697, USMG5	ENSG00000173915	Q96IX5	Mitochondria
ATP5ME	ATP5I	ENSG00000169020	P56385	Mitochondria
ATP5MF	ATP5J2, ATP5JL	ENSG00000241468	P56134	Mitochondria
ATP5MF-PTCD1	ATP5J2-PTCD1	ENSG00000248919		Mitochondria
ATP5MG	ATP5JG, ATP5L	ENSG00000167283	O75964	Mitochondria
ATP5MGL	ATP5K2, ATP5L2, dJ222E13.5	ENSG00000249222	Q7Z4Y8	Mitochondria
ATP5MPL	6.8PL, C14orf2, MLQ, MP68	ENSG00000156411	P56378	Mitochondria
ATP5PB	ATP5F1	ENSG00000116459	P24539	Mitochondria
